Listing No,Last Update Date,Listing status,Residence Type,Property Structure,Number Of Room + Hall,Gross/Net m²,Floor,Property Age,Heating Type,Number of Floors,Loan Availability,Furnishing Status,Number of Bathrooms,Structure Type,State of the Building,Usage Status,Title Deed Status,Dues,Swap,Facade,Rental Income,Fuel Type,Authorized Office,City,District,Town,Price
121687-178,03-08-2023,For Sale,Apartment,,1 + 1,55 m2,1. Floor,1 at Age,Combi Boiler,5 Storey,Available,Not Furnished,1,,,Tenanted,Condominium,,No,"South, East",,,,Kayseri,Kocasinan,Fevzi Çakmak,"
                    1.050.000 TRY
                  "
132642-66,09-06-2023,For Sale,Detached House,Müstakil Ev,3 + 2,160 m2,,30 at Age,Heating Stove,2 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Tenanted,Condominium,,No,"North, West",3.000 TRY,Coal-Wood,Yes,Kayseri,Melikgazi,Hürriyet,"
                    1.365.000 TRY
                  "
114614-1170,14-07-2023,For Sale,Apartment,Dubleks,5 + 1,230 m2,4. Floor,New Property,Combi Boiler,4 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,Condominium,,No,"North, East, West",,Gas,Yes,Kayseri,Develi,Yeni,"
                    2.150.000 TRY
                  "
130354-118,04-06-2023,For Sale,Apartment,,3 + 1,165 m2,9. Floor,5 at Age,Central Heating (Share Meter),12 Storey,Available,Not Furnished,2,,,Tenanted,Condominium,,No,"South, East, West",,,,Kayseri,Talas,Mevlana,"
                    1.900.000 TRY
                  "
129317-90,05-06-2023,For Sale,Apartment,,2 + 1,110 m2,Raised Ground Floor,25 at Age,Central,5 Storey,Available,Not Furnished,1,,,,,,,,,,,Kayseri,Kocasinan,Ziyagökalp,"
                    810.000 TRY
                  "
132235-46,19-05-2023,For Sale,Apartment,Daire,3 + 1,170 m2,6. Floor,New Property,Combi Boiler,7 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,Floor Easement,1 TRY,No,"South, East, West",4.000 TRY,Gas,Yes,Kayseri,Kocasinan,Fevzi Çakmak,"
                    1 TRY
                  "
130149-143,15-07-2023,For Sale,Villa,,4 + 1,700 m2,Garden Floor,New Property,Combi Boiler,2 Storey,Available,Not Furnished,2,,,Empty,Condominium,,No,,,,,Kayseri,Talas,Harman,"
                    15.000.000 TRY
                  "
137421-10,04-08-2023,For Sale,Apartment,Daire,3 + 1,155 m2,Middle Floor,New Property,Central Heating (Share Meter),14 Storey,Available,Not Furnished,1,Reinforced Concrete,0,Empty,Condominium,250 TRY,No,"North, West",5.500 TRY,Gas,Yes,Kayseri,Talas,Mevlana,"
                    1.800.000 TRY
                  "
135339-44,22-05-2023,For Sale,Apartment,,3 + 1,160 m2,8. Floor,New Property,Central Heating (Share Meter),12 Storey,Available,Not Furnished,1,,,Empty,Condominium,,No,"South, East",,,,Kayseri,Talas,Bahçelievler,"
                    2.120.000 TRY
                  "
87047-1167,11-07-2023,For Sale,Apartment,,2 + 1,120 m2,Raised Ground Floor,25 at Age,Combi Boiler,3 Storey,Available,,1,,,,,,,,,,,Kayseri,Kocasinan,General Emir,"
                    850.000 TRY
                  "
