Listing No,Last Update Date,Listing status,Residence Type,Property Structure,Number Of Room + Hall,Gross/Net m²,Floor,Property Age,Heating Type,Number of Floors,Loan Availability,Furnishing Status,Number of Bathrooms,Structure Type,State of the Building,Usage Status,Title Deed Status,Dues,Swap,Facade,Rental Income,Fuel Type,Authorized Office,City,District,Town,Price
125140-1068,05-08-2023,For Sale,Apartment,Daire,3 + 1,165 m2,6. Floor,10 at Age,Combi Boiler,12 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Empty,,,No,"North, East",7.500 TRY,Gas,Yes,Kayseri,Melikgazi,İldem Cumhuriyet,"
                    1.600.000 TRY
                  "
121516-195,02-08-2023,For Sale,Apartment,,3 + 1,165 m2,5. Floor,11 at Age,Combi Boiler,5 Storey,Available,Not Furnished,1,,,Empty,Condominium,,No,"North, East, West",,,,Kayseri,Melikgazi,Esentepe,"
                    1.400.000 TRY
                  "
113628-349,02-08-2023,For Sale,Villa,Müstakil Ev,5 + 1,240 m2,,New Property,Heating Stove,2 Storey,Available,Not Furnished,3,Reinforced Concrete,0,Empty,Condominium,,No,"South, East, West",,Coal-Wood,Yes,Kayseri,Hacılar,Aşağı,"
                    4.550.000 TRY
                  "
130354-133,28-07-2023,For Sale,Apartment,Daire,3 + 1,100 m2,Middle Floor,15 at Age,Combi Boiler,7 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Tenanted,Condominium,,No,"North, West",,Gas,Yes,Kayseri,Melikgazi,30 Ağustos,"
                    940.000 TRY
                  "
132875-237,24-07-2023,For Sale,Apartment,Daire,3 + 1,185 m2,Middle Floor,New Property,Central Heating (Share Meter),14 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,Floor Easement,,No,"South, West",,Gas,Yes,Kayseri,Kocasinan,Cırgalan,"
                    2.000.000 TRY
                  "
132355-196,12-07-2023,For Sale,Apartment,,3 + 1,185 m2,12. Floor,11 at Age,Central,12 Storey,Available,Not Furnished,2,,,Tenanted,Condominium,,No,"South, West",,,,Kayseri,Kocasinan,Uğurevler,"
                    1.995.000 TRY
                  "
80844-1105,02-08-2023,For Sale,Apartment,,4 + 1,250 m2,13. Floor,11 at Age,Combi Boiler,13 Storey,Available,Not Furnished,3,,,Owner,Condominium,150 TRY,No,"North, South, East",,,,Kayseri,Melikgazi,Köşk,"
                    2.850.000 TRY
                  "
135461-755,22-07-2023,For Sale,Apartment,Daire,3 + 1,125 m2,2. Floor,15 at Age,Combi Boiler,3 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Unspecified,Condominium,,No,"North, East, West",4.000 TRY,Gas,Yes,Kayseri,Develi,Camiicedit,"
                    999.000 TRY
                  "
125486-1454,05-08-2023,For Sale,Apartment,,3 + 1,150 m2,12. Floor,5 at Age,Central,12 Storey,Available,Not Furnished,1,,,Owner,Condominium,250 TRY,No,"South, West",,,,Kayseri,Melikgazi,Altınoluk,"
                    2.200.000 TRY
                  "
131846-752,02-08-2023,For Sale,Apartment,,3 + 1,130 m2,Ground Floor,26 at Age,Combi Boiler,10 Storey,Not Available,Not Furnished,1,,,Empty,Condominium,,No,"North, East",,,,Kayseri,Melikgazi,19 Mayıs,"
                    1.050.000 TRY
                  "
126474-297,17-07-2023,For Sale,Apartment,,3 + 1,190 m2,7. Floor,21 at Age,Central,11 Storey,Available,Not Furnished,2,,,Owner,Condominium,,No,"North, East",,,,Kayseri,Melikgazi,Osman Kavuncu,"
                    1.750.000 TRY
                  "
86542-460,05-08-2023,For Sale,Apartment,Daire,3 + 1,160 m2,7. Floor,15 at Age,Central Heating (Share Meter),8 Storey,Available,Not Furnished,2,Reinforced Concrete,Second Hand,,Condominium,200 TRY,No,"South, East, West",5.000 TRY,Gas,Yes,Kayseri,Kocasinan,General Emir,"
                    1.320.000 TRY
                  "
138506-10,05-08-2023,For Sale,Apartment,Daire,3 + 1,150 m2,3. Floor,11 at Age,Central,6 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Empty,Condominium,200 TRY,No,"North, East",5.000 TRY,Gas,Yes,Kayseri,Melikgazi,Demokrasi,"
                    1.200.000 TRY
                  "
91207-2617,02-08-2023,For Sale,Apartment,,3 + 1,210 m2,11. Floor,21 at Age,Central,14 Storey,Not Available,Not Furnished,1,,,Owner,Condominium,1.2 TRY,No,"North, South",,,,Kayseri,Melikgazi,Osman Kavuncu,"
                    1.850.000 TRY
                  "
0-41216234,02-08-2023,For Sale,Villa,Bahçe Katı,3 + 1,90 m2,,New Property,Unspecified,1 Storey,Unknown,Furnished,2,Stacking,0,Owner,Land,,No,"North, South, East, West",6.000 TRY,Coal-Wood,,Kayseri,Melikgazi,Mimarsinan,"
                    2.250.000 TRY
                  "
75931-2413,02-08-2023,For Sale,Villa,Daire,2 + 1,130 m2,,1 at Age,Floor Heater,1 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Owner,Land,,No,"North, South, East, West",,Coal-Wood,Yes,Kayseri,Develi,Güneyaşağı,"
                    6.000.000 TRY
                  "
123778-545,02-08-2023,For Sale,Apartment,,3 + 1,175 m2,13. Floor,5 at Age,Central Heating (Share Meter),14 Storey,Available,Not Furnished,2,,,Owner,Condominium,400 TRY,No,"South, West",,,,Kayseri,Kocasinan,Seyrani,"
                    2.250.000 TRY
                  "
138411-38,03-08-2023,For Sale,Apartment,,4 + 1,240 m2,12. Floor,11 at Age,Central Heating (Share Meter),14 Storey,Available,Not Furnished,2,,,Owner,Condominium,,No,"North, East",,,,Kayseri,Melikgazi,Alpaslan,"
                    6.000.000 TRY
                  "
0-41226353,04-08-2023,For Sale,Villa,Bahçe Dubleksi,2 + 1,140 m2,,20 at Age,Air Conditioning,2 Storey,Available,Not Furnished,2,Reinforced Concrete,Second Hand,Empty,Floor Easement,400 TRY,No,"North, South, East, West",,,,Kayseri,Kocasinan,Mollahacı,"
                    4.000.000 TRY
                  "
129916-166,04-08-2023,For Sale,Apartment,,3 + 1,175 m2,4. Floor,11 at Age,Central Heating (Share Meter),11 Storey,Available,Not Furnished,2,,,Empty,Condominium,350 TRY,No,"North, East, West",,,,Kayseri,Talas,Yenidoğan,"
                    1.980.000 TRY
                  "
139165-16,05-08-2023,For Sale,Apartment,Daire,3 + 1,165 m2,6. Floor,3 at Age,Central Heating (Share Meter),10 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Owner,Condominium,250 TRY,No,"North, East, West",7.500 TRY,Gas,,Kayseri,Melikgazi,Sakarya,"
                    1.720.000 TRY
                  "
138709-17,05-08-2023,For Sale,Detached House,Müstakil Ev,10 + 5,420 m2,,25 at Age,Combi Boiler,3 Storey,Available,Not Furnished,3,Reinforced Concrete,Second Hand,Owner,Land,,No,"North, South, East, West",,Gas,,Kayseri,Melikgazi,Danişmend Gazi,"
                    2.750.000 TRY
                  "
136079-175,03-08-2023,For Sale,Detached House,,1 + 1,65 m2,,1 at Age,Heating Stove,1 Storey,Available,Not Furnished,1,,Second Hand,Owner,Condominium,,,"South, East",,Coal-Wood,Yes,Kayseri,Felahiye,Beyler,"
                    945.000 TRY
                  "
128489-255,31-07-2023,For Sale,Apartment,,3 + 1,160 m2,9. Floor,New Property,Central Heating (Share Meter),9 Storey,Available,Not Furnished,2,,,Empty,Floor Easement,,No,"North, West",,,,Kayseri,Talas,Mevlana,"
                    2.250.000 TRY
                  "
133669-203,30-07-2023,For Sale,Detached House,Müstakil Ev,2 + 1,1.215 m2,,1 at Age,Heating Stove,1 Storey,Not Available,Not Furnished,1,Reinforced Concrete,,Owner,Land,,,,,,Yes,Kayseri,Kocasinan,Kuşçu,"
                    1.350.000 TRY
                  "
137804-18,04-08-2023,For Sale,Apartment,Daire,3 + 1,175 m2,5. Floor,6 at Age,Central Heating (Share Meter),11 Storey,Available,Not Furnished,2,Reinforced Concrete,Second Hand,,Condominium,400 TRY,No,,,Gas,Yes,Kayseri,Melikgazi,Kocatepe,"
                    1.750.000 TRY
                  "
132363-568,12-07-2023,For Sale,Apartment,,3 + 1,185 m2,14. Floor,11 at Age,Central Heating (Share Meter),14 Storey,Available,Not Furnished,2,,,Owner,Condominium,,No,"North, South, East",,,,Kayseri,Talas,Bahçelievler,"
                    2.400.000 TRY
                  "
130796-88,01-08-2023,For Sale,Apartment,Daire,3 + 1,105 m2,2. Floor,18 at Age,Combi Boiler,8 Storey,Available,,1,,Second Hand,Tenanted,Condominium,,No,"South, East",,Gas,Yes,Kayseri,Melikgazi,Anafartalar,"
                    975.000 TRY
                  "
128470-502,05-08-2023,For Sale,Apartment,,3 + 1,180 m2,13. Floor,2 at Age,Central Heating (Share Meter),14 Storey,Available,Not Furnished,2,,,Tenanted,Condominium,,No,"North, West",,,,Kayseri,Kocasinan,Beyazşehir,"
                    1.690.000 TRY
                  "
126178-272,11-07-2023,For Sale,Detached House,,5 + 1,1.500 m2,,New Property,Unspecified,1 Storey,Unknown,Not Furnished,1,,,,,,No,,,,Yes,Kayseri,Kocasinan,Akcatepe,"
                    6.000.000 TRY
                  "
128489-247,20-06-2023,For Sale,Apartment,Daire,3 + 1,175 m2,14. Floor,9 at Age,Central Heating (Share Meter),14 Storey,Available,Furnished,2,Reinforced Concrete,Second Hand,Owner,Condominium,385 TRY,,"South, East, West",7.500 TRY,Gas,Yes,Kayseri,Talas,Mevlana,"
                    2.350.000 TRY
                  "
131390-159,04-07-2023,For Sale,Apartment,Daire,3 + 1,175 m2,7. Floor,6 at Age,Central Heating (Share Meter),14 Storey,Available,Not Furnished,2,Reinforced Concrete,Second Hand,,Condominium,400 TRY,No,"South, East",6.000 TRY,Gas,Yes,Kayseri,Kocasinan,Yenidoğan,"
                    1.920.000 TRY
                  "
137797-6,03-08-2023,For Sale,Detached House,Müstakil Ev,3 + 1,110 m2,,1 at Age,Combi Boiler,1 Storey,Not Available,Not Furnished,1,Reinforced Concrete,Under Construction,Empty,Land,,No,"North, South, East, West",,Gas,Yes,Kayseri,Hacılar,Aşağı,"
                    3.000.000 TRY
                  "
136395-16,15-07-2023,For Sale,Apartment,Daire,4 + 1,160 m2,7. Floor,7 at Age,Central,12 Storey,Available,Not Furnished,2,,,,,250 TRY,No,North,,Gas,Yes,Kayseri,Melikgazi,Bahçelievler,"
                    1.700.000 TRY
                  "
126474-440,22-07-2023,For Sale,Villa,,7 + 2,900 m2,Garden Floor,New Property,Combi Boiler,2 Storey,Available,Not Furnished,4,,,Empty,Condominium,,No,"North, South, East, West",,,,Kayseri,Melikgazi,Erenköy,"
                    19.950.000 TRY
                  "
134950-13,23-06-2023,For Sale,Apartment,Daire,3 + 1,160 m2,Middle Floor,4 at Age,Combi Boiler,5 Storey,Available,Not Furnished,1,Reinforced Concrete,0,Empty,Land,,No,"South, East, West",,Gas,Yes,Kayseri,Develi,Yeni,"
                    1.550.000 TRY
                  "
124851-169,29-07-2023,For Sale,Villa,,3 + 1,220 m2,,New Property,Combi Boiler,2 Storey,Available,Not Furnished,2,,,Empty,Floor Easement,,No,"North, South, East, West",,,,Kayseri,Melikgazi,Altınoluk,"
                    9.250.000 TRY
                  "
134967-200,01-08-2023,For Sale,Villa,,5 + 1,550 m2,Garden Floor,5 at Age,Combi Boiler,2 Storey,Available,Furnished,3,,,Empty,Condominium,,No,"North, South, East, West",,,,Kayseri,Talas,Yukarı,"
                    9.750.000 TRY
                  "
124397-307,02-08-2023,For Sale,Apartment,,2 + 1,100 m2,7. Floor,1 at Age,Central,9 Storey,Not Available,Furnished,1,,,Tenanted,Condominium,,No,East,,,,Kayseri,Kocasinan,Şeker,"
                    1.400.000 TRY
                  "
129256-71,29-07-2023,For Sale,Detached House,,3 + 1,120 m2,,40 at Age,Heating Stove,2 Storey,Not Available,,1,,,,,,,,,,,Kayseri,Kocasinan,Argıncık,"
                    1.550.000 TRY
                  "
130129-71,30-07-2023,For Sale,Apartment,Daire,3 + 1,150 m2,Middle Floor,New Property,Combi Boiler,5 Storey,Available,Not Furnished,1,Reinforced Concrete,0,Empty,Condominium,,No,"North, East, West",,Gas,Yes,Kayseri,İncesu,Karamustafapaşa,"
                    1.775.000 TRY
                  "
124591-149,05-08-2023,For Sale,Apartment,Daire,3 + 1,135 m2,Middle Floor,7 at Age,Combi Boiler,5 Storey,Not Available,Not Furnished,1,Reinforced Concrete,Second Hand,Empty,Condominium,,No,"South, East",,Gas,Yes,Kayseri,Develi,Harman,"
                    1.450.000 TRY
                  "
131736-198,05-08-2023,For Sale,Apartment,Daire,3 + 1,125 m2,Raised Ground Floor,New Property,Combi Boiler,4 Storey,Available,Not Furnished,1,Reinforced Concrete,Under Construction,Empty,Condominium,,No,"South, East, West",4.000 TRY,Gas,Yes,Kayseri,Develi,İbrahimağa,"
                    1.650.000 TRY
                  "
128795-555,01-08-2023,For Sale,Apartment,Daire,3 + 1,185 m2,9. Floor,1 at Age,Central Heating (Share Meter),10 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,Condominium,,No,"North, East",9.000 TRY,Gas,Yes,Kayseri,Melikgazi,Bahçelievler,"
                    1.900.000 TRY
                  "
137315-7,08-07-2023,For Sale,Apartment,Daire,3 + 1,165 m2,5. Floor,New Property,Combi Boiler,10 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,Floor Easement,,No,"South, West",5.000 TRY,Gas,Yes,Kayseri,Melikgazi,Bahçelievler,"
                    1.650.000 TRY
                  "
138294-67,01-08-2023,For Sale,Apartment,Daire,3 + 1,155 m2,6. Floor,7 at Age,Central Heating (Share Meter),14 Storey,Available,Not Furnished,1,,Second Hand,Tenanted,,250 TRY,No,"South, West",7.000 TRY,Gas,Yes,Kayseri,Talas,Mevlana,"
                    1.525.000 TRY
                  "
134309-200,02-08-2023,For Sale,Apartment,,3 + 1,180 m2,13. Floor,3 at Age,Central Heating (Share Meter),13 Storey,Not Available,,2,,,Tenanted,Condominium,,No,"North, South",,,,Kayseri,Kocasinan,Sancaktepe,"
                    2.350.000 TRY
                  "
136683-34,06-08-2023,For Sale,Apartment,,3 + 1,170 m2,1. Floor,16 at Age,Central,8 Storey,Available,Not Furnished,1,,,Owner,Condominium,175 TRY,No,"North, South, East",,,,Kayseri,Melikgazi,Hürriyet,"
                    2.100.000 TRY
                  "
130764-52,27-07-2023,For Sale,Apartment,Daire,3 + 1,175 m2,Top Floor,18 at Age,Central,12 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Owner,,250 TRY,No,"North, South, East",,Gas,Yes,Kayseri,Melikgazi,Tacettin Veli,"
                    1.590.000 TRY
                  "
125140-1048,03-08-2023,For Sale,Apartment,Daire,4 + 1,250 m2,6. Floor,18 at Age,Central,12 Storey,Available,Not Furnished,2,Reinforced Concrete,Second Hand,Tenanted,Condominium,,No,"North, East",,Gas,Yes,Kayseri,Melikgazi,Alpaslan,"
                    3.400.000 TRY
                  "
137456-33,05-08-2023,For Sale,Villa,Dubleks,8 + 1,750 m2,,3 at Age,Combi Boiler,3 Storey,Not Available,Not Furnished,4,Reinforced Concrete,Second Hand,Owner,Condominium,,No,"North, South, East, West",,Gas,Yes,Kayseri,Melikgazi,Erenköy,"
                    24.895.000 TRY
                  "
124851-167,02-08-2023,For Sale,Apartment,,2 + 1,130 m2,6. Floor,New Property,Central Heating (Share Meter),12 Storey,Available,Not Furnished,2,,,Empty,Condominium,,No,South,,,,Kayseri,Melikgazi,Gesi Fatih,"
                    1.450.000 TRY
                  "
125486-1494,05-08-2023,For Sale,Apartment,,3 + 1,135 m2,3. Floor,26 at Age,Combi Boiler,4 Storey,Available,Not Furnished,1,,,Tenanted,Condominium,,No,"South, West",,,,Kayseri,Melikgazi,Tacettin Veli,"
                    1.270.000 TRY
                  "
135461-760,27-07-2023,For Sale,Apartment,Daire,4 + 1,200 m2,2. Floor,7 at Age,Combi Boiler,4 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Unspecified,Condominium,,No,South,,Gas,Yes,Kayseri,Develi,Yeni,"
                    1.850.000 TRY
                  "
128795-188,01-08-2023,For Sale,Villa,İkiz Ev,4 + 1,485 m2,,New Property,Combi Boiler,2 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,Floor Easement,,No,"North, South, East, West",5.000 TRY,Gas,Yes,Kayseri,Melikgazi,İldem Cumhuriyet,"
                    7.000.000 TRY
                  "
125140-1093,06-08-2023,For Sale,Apartment,Daire,2 + 1,80 m2,4. Floor,8 at Age,Central,4 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Empty,Condominium,,No,"South, West",4.000 TRY,Gas,Yes,Kayseri,Melikgazi,Demokrasi,"
                    845.000 TRY
                  "
130772-61,06-08-2023,For Sale,Apartment,Daire,4 + 1,220 m2,Middle Floor,New Property,Central Heating (Share Meter),12 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Owner,Condominium,500 TRY,No,"North, South, East",15.000 TRY,Gas,Yes,Kayseri,Kocasinan,Yakut,"
                    3.150.000 TRY
                  "
132875-123,03-08-2023,For Sale,Apartment,Daire,3 + 1,145 m2,Middle Floor,15 at Age,Combi Boiler,8 Storey,Available,Furnished,1,Reinforced Concrete,Second Hand,Tenanted,Condominium,,No,"North, East",,Gas,Yes,Kayseri,Melikgazi,Demokrasi,"
                    1.465.000 TRY
                  "
136079-177,03-08-2023,For Sale,Apartment,,3 + 1,170 m2,11. Floor,3 at Age,Central Heating (Share Meter),11 Storey,Available,Not Furnished,1,,Second Hand,Owner,Condominium,,,"North, West",,Gas,Yes,Kayseri,Melikgazi,Kazımkarabekir,"
                    1.940.000 TRY
                  "
125331-165,05-08-2023,For Sale,Apartment,Daire,3 + 1,185 m2,5. Floor,New Property,Central Heating (Share Meter),13 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,Floor Easement,,No,"North, South, East, West",,Gas,Yes,Kayseri,Melikgazi,Yeşilyurt,"
                    1.850.000 TRY
                  "
130764-111,05-08-2023,For Sale,Apartment,Daire,2 + 1,110 m2,3. Floor,10 at Age,Combi Boiler,5 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Tenanted,Condominium,60 TRY,No,"North, West",,Gas,Yes,Kayseri,Kocasinan,Oymaağaç,"
                    950.000 TRY
                  "
132363-573,05-07-2023,For Sale,Apartment,,4 + 1,200 m2,8. Floor,5 at Age,Central Heating (Share Meter),12 Storey,Available,Not Furnished,2,,,Owner,Condominium,400 TRY,No,"South, East, West",,,,Kayseri,Talas,Bahçelievler,"
                    3.150.000 TRY
                  "
126178-282,31-07-2023,For Sale,Apartment,,2 + 1,110 m2,4. Floor,1 at Age,Combi Boiler,6 Storey,Not Available,Furnished,1,,,,,,,,5.000 TRY,,,Kayseri,Talas,Mevlana,"
                    1.350.000 TRY
                  "
131390-165,19-07-2023,For Sale,Detached House,Bahçe Dubleksi,6 + 1,240 m2,,10 at Age,Combi Boiler,3 Storey,Available,Not Furnished,2,Reinforced Concrete,Second Hand,Empty,Condominium,220 TRY,No,"North, South, East, West",15.000 TRY,Gas,Yes,Kayseri,Talas,Yukarı,"
                    4.950.000 TRY
                  "
128406-11,31-07-2023,For Sale,Building,Daire,3 + 1,140 m2,,20 at Age,Combi Boiler,5 Storey,Available,,1,Stacking,Second Hand,Owner,,1 TRY,,,,Gas,,Kayseri,Develi,Mehmet Akif Ersoy,"
                    6.500.000 TRY
                  "
130921-56,31-07-2023,For Sale,Apartment,Daire,3 + 1,125 m2,Raised Ground Floor,15 at Age,Combi Boiler,3 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Tenanted,Condominium,,No,"North, East",,Gas,Yes,Kayseri,Kocasinan,Osmangazi,"
                    912.002 TRY
                  "
130362-134,03-08-2023,For Sale,Apartment,Daire,3 + 1,135 m2,1. Floor,35 at Age,Combi Boiler,3 Storey,Available,Furnished,1,Reinforced Concrete,Second Hand,Owner,Condominium,,No,"North, East",3.000 TRY,Gas,Yes,Kayseri,Kocasinan,Mimarsinan,"
                    890.000 TRY
                  "
134967-206,01-08-2023,For Sale,Apartment,,3 + 1,250 m2,Garden Floor,21 at Age,Heating Stove,1 Storey,Available,Not Furnished,1,,,Owner,,,No,"North, South, East, West",,,,Kayseri,Melikgazi,Battalgazi,"
                    1.950.000 TRY
                  "
128470-496,05-08-2023,For Sale,Apartment,,4 + 1,190 m2,8. Floor,New Property,Central Heating (Share Meter),14 Storey,Available,Not Furnished,2,,,Empty,Condominium,,No,,,,,Kayseri,Talas,Mevlana,"
                    3.199.000 TRY
                  "
136683-37,06-08-2023,For Sale,Apartment,,3 + 1,165 m2,11. Floor,5 at Age,Central Heating (Share Meter),12 Storey,Available,Not Furnished,2,,,Tenanted,Condominium,,No,"North, South, West",,,,Kayseri,Kocasinan,Beyazşehir,"
                    1.550.000 TRY
                  "
124838-91,18-07-2023,For Sale,Villa,Dubleks,7 + 2,330 m2,,New Property,Combi Boiler,3 Storey,Available,Not Furnished,3,Reinforced Concrete,0,Empty,Condominium,,No,"North, South, East, West",,Gas,Yes,Kayseri,Melikgazi,Becen,"
                    1 TRY
                  "
4594-368,06-08-2023,For Sale,Apartment,Daire,3 + 1,165 m2,Top Floor,25 at Age,Central,7 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Tenanted,Condominium,500 TRY,No,"South, West",5.500 TRY,Gas,Yes,Kayseri,Melikgazi,Germir,"
                    1.450.000 TRY
                  "
131846-758,02-08-2023,For Sale,Apartment,,3 + 1,205 m2,12. Floor,4 at Age,Central Heating (Share Meter),14 Storey,Not Available,Not Furnished,2,,,Empty,Condominium,800 TRY,No,"North, South, West",,,,Kayseri,Kocasinan,Yakut,"
                    3.890.000 TRY
                  "
125486-1512,05-08-2023,For Sale,Apartment,,2 + 1,115 m2,6. Floor,1 at Age,Central Heating (Share Meter),13 Storey,Available,Not Furnished,1,,,Tenanted,Floor Easement,,No,East,,,,Kayseri,Kocasinan,Şeker,"
                    1.510.000 TRY
                  "
125140-1071,02-08-2023,For Sale,Apartment,Daire,4 + 1,250 m2,6. Floor,18 at Age,Central,12 Storey,Available,Not Furnished,2,Reinforced Concrete,Second Hand,Tenanted,Condominium,,No,"North, South, East",,Gas,Yes,Kayseri,Melikgazi,Alpaslan,"
                    3.400.000 TRY
                  "
124791-129,05-08-2023,For Sale,Farm House,,3 + 1,1.700 m2,,3 at Age,Heating Stove,1 Storey,Not Available,Not Furnished,1,,,Empty,,,No,,,,,Kayseri,Bünyan,Doğanlar,"
                    1.950.000 TRY
                  "
131736-218,05-08-2023,For Sale,Apartment,Daire,3 + 1,145 m2,1. Floor,8 at Age,Combi Boiler,4 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Owner,Condominium,100 TRY,No,"East, West",5.000 TRY,Gas,Yes,Kayseri,Develi,İbrahimağa,"
                    1.800.000 TRY
                  "
137315-8,25-07-2023,For Sale,Apartment,Daire,3 + 1,170 m2,10. Floor,New Property,Combi Boiler,11 Storey,Available,Not Furnished,2,Reinforced Concrete,0,,Floor Easement,,No,"North, West",8.000 TRY,Gas,Yes,Kayseri,Kocasinan,Zümrüt,"
                    2.100.000 TRY
                  "
129564-161,01-08-2023,For Sale,Apartment,Daire,3 + 1,155 m2,1. Floor,20 at Age,Combi Boiler,4 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Tenanted,Condominium,100 TRY,No,East,6.000 TRY,Gas,Yes,Kayseri,Kocasinan,Fevzi Çakmak,"
                    1.080.000 TRY
                  "
134958-377,02-08-2023,For Sale,Apartment,Daire,4 + 1,185 m2,11. Floor,15 at Age,Central,14 Storey,Available,Not Furnished,2,Reinforced Concrete,Second Hand,Empty,Condominium,,No,"North, South, East",10.000 TRY,Gas,Yes,Kayseri,Talas,Mevlana,"
                    1.975.000 TRY
                  "
130796-87,01-08-2023,For Sale,Apartment,Daire,3 + 1,165 m2,12. Floor,10 at Age,Central Heating (Share Meter),14 Storey,Available,Not Furnished,1,,Second Hand,Owner,Condominium,,,"North, East, West",8.000 TRY,,Yes,Kayseri,Talas,Mevlana,"
                    1.850.000 TRY
                  "
134309-201,02-08-2023,For Sale,Apartment,,3 + 1,200 m2,11. Floor,5 at Age,Combi Boiler,13 Storey,Available,,1,,,Empty,Condominium,,No,"North, South, East",,,,Kayseri,Melikgazi,Yıldırım Beyazıt,"
                    2.800.000 TRY
                  "
130354-134,02-08-2023,For Sale,Apartment,,3 + 1,100 m2,6. Floor,11 at Age,Combi Boiler,7 Storey,Available,Not Furnished,1,,,Tenanted,Condominium,,No,"North, West",,,,Kayseri,Melikgazi,30 Ağustos,"
                    940.000 TRY
                  "
130149-183,03-08-2023,For Sale,Apartment,,3 + 1,155 m2,Raised Ground Floor,21 at Age,Combi Boiler,14 Storey,Available,Not Furnished,1,,,Empty,Condominium,450 TRY,No,,,,,Kayseri,Kocasinan,Hoca Ahmet Yesevi,"
                    1.350.000 TRY
                  "
135330-108,03-08-2023,For Sale,Apartment,Daire,4 + 1,235 m2,6. Floor,20 at Age,Central,14 Storey,Available,Not Furnished,2,Masonry,Second Hand,Tenanted,Condominium,1.000 TRY,No,"South, East",15.000 TRY,Gas,Yes,Kayseri,Melikgazi,Kılıçaslan,"
                    4.000.000 TRY
                  "
138294-69,04-08-2023,For Sale,Apartment,,3 + 1,155 m2,14. Floor,4 at Age,Central Heating (Share Meter),14 Storey,Available,,1,,,Tenanted,Condominium,,No,"North, East",,,Yes,Kayseri,Talas,Mevlana,"
                    1.650.000 TRY
                  "
125486-1565,05-08-2023,For Sale,Apartment,,3 + 1,185 m2,1. Floor,3 at Age,Central Heating (Share Meter),12 Storey,Available,Not Furnished,2,,,Owner,Condominium,,No,"South, East",,,,Kayseri,Kocasinan,Yenidoğan,"
                    2.300.000 TRY
                  "
124591-129,05-08-2023,For Sale,Apartment,Daire,3 + 1,125 m2,Middle Floor,New Property,Combi Boiler,5 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Unspecified,Floor Easement,,,"North, South, East, West",3.500 TRY,Gas,Yes,Kayseri,Develi,Aşık Seyrani,"
                    1.250.000 TRY
                  "
137456-18,05-08-2023,For Sale,Apartment,Daire,4 + 1,235 m2,14. Floor,4 at Age,Central Heating (Share Meter),14 Storey,Available,Not Furnished,2,Reinforced Concrete,Second Hand,Owner,Condominium,450 TRY,No,"North, East, West",,Gas,Yes,Kayseri,Melikgazi,Yıldırım Beyazıt,"
                    4.350.000 TRY
                  "
135461-761,20-07-2023,For Sale,Apartment,Daire,4 + 1,165 m2,2. Floor,New Property,Combi Boiler,4 Storey,Available,Not Furnished,2,Reinforced Concrete,Under Construction,Empty,Condominium,,No,"North, South, East, West",,Gas,Yes,Kayseri,Develi,Aşık Seyrani,"
                    1.850.000 TRY
                  "
124838-87,06-07-2023,For Sale,Apartment,Daire,4 + 1,185 m2,Middle Floor,10 at Age,Combi Boiler,4 Storey,Available,Not Furnished,2,Reinforced Concrete,Second Hand,Tenanted,Condominium,,No,"North, South, West",5.000 TRY,Gas,Yes,Kayseri,Hacılar,Akyazı,"
                    1.700.000 TRY
                  "
128795-377,05-08-2023,For Sale,Apartment,Daire,2 + 1,120 m2,13. Floor,1 at Age,Central Heating (Share Meter),13 Storey,Available,Not Furnished,2,Reinforced Concrete,Second Hand,Empty,Condominium,,No,"North, South, East",2.500 TRY,Gas,Yes,Kayseri,Melikgazi,Gesi Fatih,"
                    1.250.000 TRY
                  "
132722-22,20-07-2023,For Sale,Apartment,,3 + 1,165 m2,Raised Ground Floor,New Property,Central Heating (Share Meter),13 Storey,Not Available,Not Furnished,2,,,Empty,,100 TRY,No,"North, West",8.000 TRY,,,Kayseri,Melikgazi,Altınoluk,"
                    2.050.000 TRY
                  "
