İlan Numarası,İlan Güncelleme Tarihi,Kategorisi,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,Yatırıma Uygunluk,Eşya Durumu,Banyo Sayısı,İlan Oluşturma Tarihi,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,Site İçerisinde,Takas,Fiyat Durumu,Kategori,Konumu,Fiyat,İlan Açıklaması
13677254,03 Ağustos 2023,Satılık,1.230 M2,21 Ve Üzeri,5,Boş,Yatırıma Uygun,Boş,3,03 Ağustos 2023,Konut,872 M2,2+1,,Kombi Doğalgaz,Hayır,Var,Genel Fiyat,Bina,İstanbul - Büyükçekmece - Murat Çeşme Mahallesi,"18,500,000",
13678916,03 Ağustos 2023,Satılık,88 M2,5-10,5,Boş,Yatırıma Uygun,Boş,1,03 Ağustos 2023,Konut,85 M2,2+1,2.Kat,Kombi Doğalgaz,Hayır,Yok,Genel Fiyat,Daire,İstanbul - Esenyurt - Fatih Mahallesi,"2,250,000",
13683509,06 Ağustos 2023,Satılık,165 M2,0 (Yeni),5,Boş,Yatırıma Uygun,,2,04 Ağustos 2023,Konut,140 M2,3+2,Çatı Dubleks,Kombi Doğalgaz,Hayır,Var,Genel Fiyat,Daire,İstanbul - Büyükçekmece - Atatürk Mahallesi,"5,500,000",
13678950,06 Ağustos 2023,Satılık,120 M2,11-15,4,Boş,,,1,03 Ağustos 2023,Konut,110 M2,2+1,Düz Giriş (Zemin),Kombi Doğalgaz,Hayır,Yok,Genel Fiyat,Daire,İstanbul - Esenyurt - Gökevler Mahallesi,"1,300,000",""", """
13679277,06 Ağustos 2023,Satılık,120 M2,0 (Yeni),6,Boş,Yatırıma Uygun,Boş,1,03 Ağustos 2023,Konut,105 M2,2+1,2.Kat,Kombi Doğalgaz,Hayır,Var,Genel Fiyat,Daire,İstanbul - Beylikdüzü - Gürpınar Mahallesi,"2,995,000",
13679279,06 Ağustos 2023,Satılık,120 M2,0 (Yeni),4,Boş,Bilinmiyor,Boş,1,03 Ağustos 2023,Konut,110 M2,2+1,Yüksek Giriş,Kombi Doğalgaz,Hayır,Var,Genel Fiyat,Daire,İstanbul - Beylikdüzü - Cumhuriyet Mahallesi,"1,149,999",
13694646,06 Ağustos 2023,Satılık,135 M2,21 Ve Üzeri,6,Boş,Yatırıma Uygun,,1,06 Ağustos 2023,Konut,110 M2,3+1,2.Kat,Merkezi Doğalgaz,Hayır,,Genel Fiyat,Daire,İstanbul - Kadıköy - Erenköy Mahallesi,"6,350,000",
13679506,04 Ağustos 2023,Satılık,100 M2,16-20,4,Boş,Yatırıma Uygun,Boş,1,03 Ağustos 2023,Konut,85 M2,2+1,4.Kat,Kombi Doğalgaz,Hayır,Yok,Genel Fiyat,Daire,İstanbul - Pendik - Kavakpınar Mahallesi,"1,650,000",
13695737,06 Ağustos 2023,Satılık,160 M2,0 (Yeni),6,Boş,Yatırıma Uygun,Boş,2,06 Ağustos 2023,Konut,150 M2,2+2,Çatı Dubleks,Kombi Doğalgaz,Hayır,Var,Genel Fiyat,Daire,İstanbul - Esenyurt - Barbaros Hayrettin Paşa Mahallesi,"1,550,000",
13695814,06 Ağustos 2023,Satılık,150 M2,4,4,Boş,,,1,06 Ağustos 2023,Konut,140 M2,3+1,1.Kat,Kombi Doğalgaz,Hayır,Var,Genel Fiyat,Daire,İstanbul - Beylikdüzü - Gürpınar Mahallesi,"2,500,000",
13696172,06 Ağustos 2023,Satılık,145 M2,0 (Yeni),4,Boş,Yatırıma Uygun,Boş,1,06 Ağustos 2023,Konut,130 M2,3+1,Bahçe Dublex,Yerden Isıtma,Hayır,,Genel Fiyat,Daire,İstanbul - Büyükçekmece - Kumburgaz Mahallesi,"3,000,000",
13696197,06 Ağustos 2023,Satılık,135 M2,0 (Yeni),5,Boş,Yatırıma Uygun,Boş,2,06 Ağustos 2023,Konut,125 M2,3+1,Bahçe Dublex,Kombi Doğalgaz,Hayır,Var,Genel Fiyat,Daire,İstanbul - Beylikdüzü - Cumhuriyet Mahallesi,"1,259,999",
13697065,06 Ağustos 2023,Satılık,155 M2,0 (Yeni),3,Boş,,Boş,1,06 Ağustos 2023,Konut,140 M2,3+1,1.Kat,Kombi Doğalgaz,Hayır,Var,Genel Fiyat,Daire,İstanbul - Beylikdüzü - Kavaklı Mahallesi,"2,699,999",
13697204,06 Ağustos 2023,Satılık,150 M2,0 (Yeni),5,Boş,Yatırıma Uygun,Boş,2,06 Ağustos 2023,Konut,145 M2,3+2,4.Kat,Merkezi Doğalgaz,Hayır,Var,Genel Fiyat,Daire,İstanbul - Beylikdüzü - Cumhuriyet Mahallesi,"1,199,000",
13695513,06 Ağustos 2023,Satılık,120 M2,0 (Yeni),5,Boş,Bilinmiyor,Boş,1,06 Ağustos 2023,Konut,110 M2,2+1,3.Kat,Kombi Doğalgaz,Hayır,Var,Genel Fiyat,Daire,İstanbul - Beylikdüzü - Cumhuriyet Mahallesi,"1,475,000",
,,,,,,,,,,,,,,,,,,,Daire,,,
13671796,02 Ağustos 2023,Satılık,140 M2,0 (Yeni),12,Boş,Yatırıma Uygun,,2,02 Ağustos 2023,Konut,120 M2,3+1,8.Kat,Kombi Doğalgaz,Hayır,Var,Genel Fiyat,Daire,İstanbul - Beylikdüzü - Marmara Mahallesi,"3,599,999",
13671915,05 Ağustos 2023,Satılık,140 M2,0 (Yeni),5,Boş,Yatırıma Uygun,Boş,1,02 Ağustos 2023,Konut,135 M2,3+1,Düz Giriş (Zemin),Kombi Doğalgaz,Hayır,Var,Genel Fiyat,Daire,İstanbul - Esenyurt - Cumhuriyet Mahallesi,"1,149,000",
13679493,05 Ağustos 2023,Satılık,100 M2,4,6,Boş,Yatırıma Uygun,,1,03 Ağustos 2023,Konut,90 M2,2+1,2.Kat,Kombi Doğalgaz,Hayır,Var,Genel Fiyat,Daire,İstanbul - Beylikdüzü - Cumhuriyet Mahallesi,"1,319,000",
13672432,02 Ağustos 2023,Satılık,90 M2,4,4,Boş,Yatırıma Uygun,,1,02 Ağustos 2023,Konut,85 M2,2+1,2.Kat,Kombi Doğalgaz,Hayır,Yok,Genel Fiyat,Daire,İstanbul - Maltepe - Altıntepe Mahallesi,"4,600,000",
13671826,02 Ağustos 2023,Satılık,155 M2,0 (Yeni),5,Boş,Yatırıma Uygun,Boş,2,02 Ağustos 2023,Konut,145 M2,3+1,1.Kat,Kombi Doğalgaz,Hayır,Var,Genel Fiyat,Daire,İstanbul - Beylikdüzü - Adnan Kahveci Mahallesi,"3,650,000",
13696077,06 Ağustos 2023,Satılık,180 M2,0 (Yeni),4,Boş,Yatırıma Uygun,Boş,1,06 Ağustos 2023,Konut,170 M2,4+2,Bahçe Dublex,Yerden Isıtma,Hayır,,Genel Fiyat,Daire,İstanbul - Büyükçekmece - Kumburgaz Mahallesi,"2,800,000",
13671934,06 Ağustos 2023,Satılık,130 M2,0 (Yeni),10,Boş,Yatırıma Uygun,Eşyalı,1,02 Ağustos 2023,Konut,120 M2,2+1,6.Kat,Kombi Doğalgaz,Hayır,Var,Genel Fiyat,Daire,İstanbul - Beylikdüzü - Cumhuriyet Mahallesi,"1,699,000",
13671854,02 Ağustos 2023,Satılık,180 M2,21 Ve Üzeri,4,Mülk Sahibi Oturuyor,Yatırıma Uygun,,2,02 Ağustos 2023,Konut,165 M2,4+1,Çatı Dubleks,Merkezi Doğalgaz,Hayır,,Genel Fiyat,Daire,İstanbul - Şişli - Fulya Mahallesi,"5,650,000",
13671952,05 Ağustos 2023,Satılık,155 M2,0 (Yeni),12,Boş,Yatırıma Uygun,Boş,1,02 Ağustos 2023,Konut,145 M2,3+1,7.Kat,Merkezi (Pay Ölçer),Hayır,Var,Genel Fiyat,Daire,İstanbul - Beylikdüzü - Cumhuriyet Mahallesi,"1,599,000",
