,İlan Numarası,İlan Güncelleme Tarihi,Kategorisi,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,İlan Oluşturma Tarihi,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,House Price,House Location,Krediye Uygunluk
17,13619060,25 Temmuz 2023,Satılık,275 M2,0 (Yeni),2,Boş,25 Temmuz 2023,Konut,265 M2,5+1,Düz Giriş,Yerden Isıtma,12.750.000TL,Kayseri - Melikgazi - Becen Mahallesi,Krediye Uygun Değil
18,13618767,27 Temmuz 2023,Satılık,110 M2,21 Ve Üzeri,10,Kiracı Oturuyor,25 Temmuz 2023,Konut,100 M2,3+1,2.Kat,Kombi Doğalgaz,1.250.000TL,Kayseri - Melikgazi - Selimiye Mahallesi,
19,13617413,29 Temmuz 2023,Satılık,100 M2,16-20,4,Kiracı Oturuyor,25 Temmuz 2023,Konut,85 M2,2+1,4.Kat,Kombi Doğalgaz,900.000TL,Kayseri - Melikgazi - Gesi Fatih Mahallesi,
20,13617362,27 Temmuz 2023,Satılık,185 M2,0 (Yeni),12,Boş,25 Temmuz 2023,Konut,132 M2,3+1,5.Kat,Merkezi (Pay Ölçer),1.900.000TL,Kayseri - Melikgazi - Yeşilyurt Mahallesi,
21,13616794,25 Temmuz 2023,Satılık,185 M2,0 (Yeni),7,Boş,25 Temmuz 2023,Konut,145 M2,3.5+1,6.Kat,Merkezi (Pay Ölçer),3.500.000TL,Kayseri - Melikgazi - Germir Mahallesi,
22,13616340,24 Temmuz 2023,Satılık,185 M2,5-10,3,Kiracı Oturuyor,24 Temmuz 2023,Konut,140 M2,3+1,2.Kat,Kombi Doğalgaz,1.635.000TL,Kayseri - Melikgazi - Sakarya Mahallesi,
23,13626930,28 Temmuz 2023,Satılık,175 M2,0 (Yeni),10,Boş,26 Temmuz 2023,Konut,150 M2,3+1,5.Kat,Merkezi (Pay Ölçer),1.875.000TL,Kayseri - Melikgazi - Gesi Fatih Mahallesi,
24,13625950,30 Temmuz 2023,Satılık,175 M2,0 (Yeni),8,Boş,26 Temmuz 2023,Konut,135 M2,3+1,3.Kat,Kombi Doğalgaz,1.590.000TL,Kayseri - Melikgazi - Şirintepe Mahallesi,
25,13599600,21 Temmuz 2023,Satılık,175 M2,0 (Yeni),12,Boş,21 Temmuz 2023,Konut,145 M2,3+1,5.Kat,Merkezi (Pay Ölçer),1.850.000TL,Kayseri - Melikgazi - Yeşilyurt Mahallesi,
26,13598428,26 Temmuz 2023,Satılık,175 M2,2,14,Mülk Sahibi Oturuyor,21 Temmuz 2023,Konut,135 M2,3+1,8.Kat,Merkezi (Pay Ölçer),2.075.000TL,Kayseri - Melikgazi - Bahçelievler Mahallesi,
27,13598293,28 Temmuz 2023,Satılık,120 M2,21 Ve Üzeri,3,Kiracı Oturuyor,21 Temmuz 2023,Konut,100 M2,2+1,1.Kat,Kombi Doğalgaz,1.250.000TL,Kayseri - Melikgazi - Aydınlıkevler Mahallesi,
28,13596990,27 Temmuz 2023,Satılık,175 M2,0 (Yeni),12,Boş,21 Temmuz 2023,Konut,135 M2,3+1,6.Kat,Merkezi (Pay Ölçer),1.850.000TL,Kayseri - Melikgazi - Tavlusun Mahallesi,
29,13596355,20 Temmuz 2023,Satılık,145 M2,21 Ve Üzeri,10,Boş,20 Temmuz 2023,Konut,127 M2,3+1,Yüksek Giriş,Merkezi Doğalgaz,1.045.000TL,Kayseri - Melikgazi - Kocatepe Mahallesi,
