,İlan Numarası,İlan Güncelleme Tarihi,Kategorisi,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,İlan Oluşturma Tarihi,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,House Price,House Location,Krediye Uygunluk,Yatırıma Uygunluk,Yapı Durumu
1035,12579461,28 Temmuz 2023,Satılık,115 M2,0 (Yeni),11,Boş,24 Ocak 2023,Konut,100 M2,2+1,3.Kat,Kombi Doğalgaz,1.700.000TL,Kayseri - Melikgazi - Kılıçaslan Mahallesi,,,
1036,12573519,07 Temmuz 2023,Satılık,170 M2,2,9,Mülk Sahibi Oturuyor,23 Ocak 2023,Konut,130 M2,3+1,8.Kat,Merkezi Doğalgaz,2.245.000TL,Kayseri - Melikgazi - Kocatepe Mahallesi,,,
1037,12571389,27 Temmuz 2023,Satılık,180 M2,0 (Yeni),6,Boş,23 Ocak 2023,Konut,140 M2,3+1,4.Kat,Kombi Doğalgaz,1.880.000TL,Kayseri - Melikgazi - Demokrasi Mahallesi,,,
1038,12561294,28 Temmuz 2023,Satılık,220 M2,4,12,Boş,21 Ocak 2023,Konut,200 M2,4+1,4.Kat,Merkezi (Pay Ölçer),5.700.000TL,Kayseri - Kocasinan - Erciyesevler Mahallesi,,,
1039,12560486,02 Mayıs 2023,Satılık,175 M2,0 (Yeni),12,Boş,20 Ocak 2023,Konut,135 M2,3+1,2.Kat,Merkezi Doğalgaz,1.750.000TL,Kayseri - Kocasinan - Yavuzlar Mahallesi,,,
1040,12539866,10 Mayıs 2023,Satılık,145 M2,0 (Yeni),12,Boş,17 Ocak 2023,Konut,125 M2,3+1,1.Kat,Kat Kaloriferi,1.650.000TLarrow_downward%6,Kayseri - Kocasinan - Zümrüt Mahallesi,,,
1041,12535328,23 Haziran 2023,Satılık,130 M2,0 (Yeni),14,Boş,16 Ocak 2023,Konut,100 M2,3+1,4.Kat,Merkezi (Pay Ölçer),560.000TL,Kayseri - Melikgazi - Yeşilyurt Mahallesi,Krediye Uygun Değil,,
1042,12529276,10 Temmuz 2023,Satılık,209 M2,16-20,4,Kiracı Oturuyor,15 Ocak 2023,Konut,100 M2,9+ Oda,4.Kat,Kombi Doğalgaz,2.450.000TL,Kayseri - Melikgazi - Osmanlı Mahallesi,,,
1043,12518069,27 Temmuz 2023,Satılık,175 M2,0 (Yeni),6,Boş,12 Ocak 2023,Konut,135 M2,3+1,1.Kat,Kombi Doğalgaz,1.900.000TL,Kayseri - Kocasinan - Mithatpaşa Mahallesi,,,
1044,12508835,13 Haziran 2023,Satılık,170 M2,21 Ve Üzeri,3,Boş,10 Ocak 2023,Konut,160 M2,3+1,3.Kat,Kombi Doğalgaz,1.200.000TL,Kayseri - Kocasinan - Barbaros Mahallesi,,,
1045,12502767,10 Haziran 2023,Satılık,165 M2,0 (Yeni),12,Boş,09 Ocak 2023,Konut,120 M2,2.5+1,5.Kat,Merkezi Doğalgaz,540.000TL,Kayseri - Melikgazi - Yeşilyurt Mahallesi,Krediye Uygun Değil,,
