Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,House Price,Şehir,İlçe,Mahalle
3,8,2,0,155,7,1,5,1515000,0,4,38
2,8,0,0,145,7,1,7,1300000,0,3,36
0,10,0,0,120,7,1,6,1950000,0,4,82
8,11,2,0,165,7,1,7,1650000,0,3,20
8,7,0,0,135,7,1,5,1440000,0,4,93
2,12,0,0,135,7,1,5,1595000,0,4,38
0,14,0,0,90,5,1,6,1890000,0,3,20
5,11,2,0,170,11,1,6,2350000,0,3,114
8,13,2,0,130,7,1,6,1750000,0,3,116
7,6,1,0,135,7,1,5,1275000,0,4,15
4,10,0,0,135,7,1,6,1580000,0,4,135
0,3,0,0,100,5,1,5,1250000,0,3,46
0,3,0,0,300,17,3,5,22000000,0,4,34
0,2,0,0,165,16,7,5,9050000,0,4,19
0,2,0,0,165,16,7,5,9050000,0,4,19
0,2,0,0,165,16,7,5,9050000,0,4,19
0,2,0,0,165,16,7,5,9100000,0,4,19
4,14,2,0,240,16,2,7,8700000,0,4,5
0,2,0,0,210,14,3,5,6750000,0,4,49
0,5,0,0,85,4,1,5,950000,0,4,87
2,14,2,0,130,7,1,7,1875000,0,4,109
8,2,0,0,145,0,8,2,1950000,0,4,15
0,10,0,0,135,7,1,7,2300000,0,3,99
5,11,2,0,180,11,1,7,2350000,0,3,107
0,12,0,0,105,7,1,7,2100000,0,3,96
0,14,0,0,140,11,1,6,1875000,0,3,126
0,11,0,0,155,7,1,6,1950000,0,4,112
0,12,0,0,100,6,1,6,1680000,0,3,20
0,15,0,0,140,7,1,6,1850000,0,4,124
8,12,1,0,155,7,1,7,2525000,0,4,81
5,3,2,0,120,7,1,5,890000,0,3,87
5,3,1,0,90,4,5,5,515000,0,3,43
0,13,0,0,130,7,1,7,1650000,0,4,135
2,10,0,0,135,7,1,5,1590000,0,4,38
8,11,0,0,150,7,1,5,1645000,0,4,109
3,1,2,0,150,7,8,9,2150000,0,3,73
7,12,1,0,120,7,1,7,965000,0,3,116
0,9,0,0,105,5,1,6,1350000,0,4,17
8,14,1,0,155,7,1,6,1920000,0,3,119
6,7,1,0,115,7,1,5,1750000,0,4,56
0,7,0,0,130,7,1,5,1950000,0,3,88
8,6,2,0,85,4,1,7,1050000,0,4,31
8,14,1,0,155,7,1,7,1850000,0,4,48
8,14,0,0,175,11,1,6,3500000,0,4,7
0,14,0,0,260,11,2,6,8500000,0,4,54
0,5,0,0,130,7,1,5,1650000,0,3,46
8,2,0,0,140,0,8,2,1995000,0,3,113
5,9,1,0,140,7,1,7,1595000,0,3,33
8,2,0,0,150,0,8,2,2150000,0,4,93
0,13,0,0,145,11,1,6,3250000,0,3,114
0,14,0,0,125,7,1,6,3750000,0,4,81
0,13,0,0,145,11,1,6,3300000,0,3,114
0,14,0,0,160,11,1,6,4950000,0,4,81
0,12,0,0,135,11,1,6,3950000,0,3,6
0,2,0,0,300,20,8,10,25500000,0,4,34
0,14,0,0,125,7,1,6,3350000,0,4,81
5,7,1,0,110,4,1,7,850000,0,3,96
2,5,2,0,119,7,1,5,930000,0,4,15
8,14,2,0,135,7,1,5,1780000,0,4,31
8,12,1,0,162,7,1,7,1975000,0,4,124
2,10,2,0,140,7,1,7,1250000,0,3,20
8,12,0,0,140,7,1,6,2275000,0,4,97
3,4,2,0,130,7,1,5,1350000,0,3,119
3,12,2,0,220,11,1,7,2489000,0,3,33
0,3,0,0,350,26,8,5,4850000,0,3,24
0,2,0,0,200,11,8,10,14550000,0,4,19
0,14,0,0,155,11,1,6,2600000,0,3,6
0,14,0,0,140,7,1,6,2240000,0,3,105
3,3,1,0,120,7,1,5,1100000,0,3,43
0,2,0,0,165,16,7,5,9050000,0,4,19
0,2,0,0,165,16,7,5,9000000,0,4,19
5,3,1,0,130,7,1,5,1250000,0,4,76
5,8,1,0,190,7,1,7,1749000,0,3,96
0,2,0,0,220,11,8,5,5950000,0,4,48
3,7,1,0,110,7,1,5,1365000,0,3,20
0,8,0,0,140,11,1,7,3300000,0,3,99
5,9,2,0,105,7,8,7,1200000,0,4,135
3,1,1,0,200,15,8,9,3400000,0,3,84
8,10,1,0,130,7,1,7,1185000,0,4,47
8,12,0,0,319,18,2,6,4700000,0,4,5
2,14,1,0,135,7,1,5,1400000,0,4,1
2,14,1,0,130,7,1,5,1400000,0,4,1
2,8,2,0,125,7,1,7,1455000,0,4,79
5,3,1,0,125,7,1,9,1315000,0,3,96
8,10,2,0,100,4,1,6,1120000,0,4,38
8,14,2,0,170,11,2,6,4150000,0,4,54
0,2,0,0,200,11,8,5,7000000,0,4,48
0,14,0,0,135,9,1,6,2050000,0,3,131
0,7,1,0,145,7,1,6,1500000,0,3,92
0,8,0,0,155,11,1,6,1920000,0,4,138
0,14,0,0,155,7,1,7,1750000,0,4,37
0,4,0,0,120,7,1,6,1575000,0,3,137
8,4,0,0,500,20,8,10,18250000,0,4,34
8,15,0,0,165,7,1,7,1850000,0,4,109
8,15,2,0,155,7,1,5,1472000,0,4,135
0,10,0,0,115,4,1,5,300000,0,3,2
8,13,0,0,160,7,1,6,1640000,0,4,135
5,1,2,0,200,7,8,2,19500000,0,4,64
5,1,2,0,200,7,8,2,28500000,0,4,64
7,4,1,0,124,7,1,6,1410000,0,4,15
5,3,0,0,290,20,6,9,5100000,0,3,101
4,12,1,0,135,7,1,6,1570000,0,4,15
8,8,1,0,190,11,1,10,2325000,0,3,114
4,14,1,0,145,9,1,6,1510000,0,4,48
0,6,0,0,135,7,1,5,1850000,0,4,31
3,4,1,0,100,7,1,5,995000,0,4,112
0,13,0,0,160,11,1,6,2450000,0,3,105
0,2,0,0,150,11,8,5,6100000,0,4,48
0,13,0,0,130,7,1,6,1700000,0,3,36
3,1,1,0,428,7,8,9,1700000,0,3,113
4,2,2,0,200,16,8,5,6799000,0,4,48
8,2,2,0,190,8,8,5,7750000,0,4,39
0,14,0,0,130,11,1,6,600000,0,4,124
0,14,0,0,175,14,1,6,4250000,0,3,114
0,1,0,0,180,11,8,5,5800000,0,4,49
5,3,0,0,80,7,5,9,580000,0,3,87
0,6,0,0,125,7,1,5,1499000,0,3,46
2,9,2,0,110,7,1,6,1275000,0,4,48
0,12,0,0,125,7,1,6,1800000,0,3,105
5,4,1,0,100,7,1,5,1750000,0,4,38
5,8,1,0,145,7,1,7,1850000,0,3,33
0,14,0,0,140,7,1,6,1700000,0,4,48
8,11,1,0,135,7,1,6,1695000,0,3,113
3,14,0,0,220,11,1,5,3350000,0,4,54
0,10,0,0,130,5,1,7,1065000,0,4,124
3,5,2,0,110,4,1,9,660000,0,3,98
4,16,0,0,90,4,1,6,1395000,0,3,96
8,12,2,0,110,7,2,7,1950000,0,4,7
7,14,0,0,130,7,2,6,1640000,0,3,116
0,2,0,0,100,7,8,9,2400000,0,3,24
0,2,0,0,130,11,8,5,8600000,0,4,34
0,6,0,0,130,7,8,5,1100000,0,4,40
5,12,0,0,135,7,1,10,1500000,0,4,1
3,8,2,0,110,7,1,5,1150000,0,4,17
0,10,0,0,85,4,1,7,300000,0,3,2
8,6,0,0,130,7,1,5,1350000,0,4,17
8,3,0,0,329,0,11,2,1820000,0,4,30
0,10,0,0,135,7,1,7,1800000,0,3,131
0,12,0,0,190,11,1,6,2500000,0,3,114
0,8,0,0,110,7,1,5,1850000,0,3,116
8,3,2,0,65,4,1,6,820000,0,4,31
0,13,0,0,95,4,2,6,1400000,0,4,135
0,8,0,0,145,7,10,7,1670000,0,4,51
0,14,0,0,130,7,2,6,1950000,0,4,15
8,3,0,0,50,1,1,5,649000,0,4,31
6,14,0,0,180,7,1,7,1800000,0,4,124
8,13,0,0,315,21,2,10,5950000,0,4,47
0,14,0,0,153,11,1,6,3699000,0,3,114
7,8,2,0,140,7,1,6,1350000,0,3,2
2,4,2,0,440,4,3,5,3150000,0,4,30
8,13,1,0,230,11,2,7,7600000,0,4,81
8,11,0,0,200,17,2,5,2350000,0,4,7
0,10,0,0,140,8,1,6,2090000,0,3,20
