Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,House Price,House Location,Şehir,İlçe,Mahalle
110 M2,0 (Yeni),5,Boş,Konut,90 M2,2+1,2.Kat,Isıtma Yok,1300000,Kayseri - Develi - Mustafa Asım Köksal Mahallesi,Kayseri,Develi,Mustafa Asım Köksal Mahallesi
110 M2,5-10,14,Kiracı Oturuyor,Konut,90 M2,2+1,7.Kat,Merkezi (Pay Ölçer),1375000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,Talas,Mevlana Mahallesi
165 M2,1,1,Mülk Sahibi Oturuyor,Konut,125 M2,3+1,Düz Giriş,Sobalı,2500000,Kayseri - İncesu - Garipçe Mahallesi,Kayseri,İncesu,Garipçe Mahallesi
150 M2,5-10,14,Mülk Sahibi Oturuyor,Konut,135 M2,3+1,12.Kat,Merkezi (Pay Ölçer),1525000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,Talas,Mevlana Mahallesi
140 M2,5-10,2,Boş,Konut,125 M2,1 Oda,Düz Giriş,Isıtma Yok,1550000,Kayseri - Develi - Yeni Mahallesi,Kayseri,Develi,Yeni Mahallesi
165 M2,5-10,14,Kiracı Oturuyor,Konut,135 M2,3+1,12.Kat,Merkezi Doğalgaz,1420000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,Talas,Mevlana Mahallesi
110 M2,0 (Yeni),10,Boş,Konut,90 M2,2.5+1,3.Kat,Merkezi (Pay Ölçer),1579000,Kayseri - Talas - Kiçiköy Mahallesi,Kayseri,Talas,Kiçiköy Mahallesi
50 M2,0 (Yeni),5,Boş,Konut,49 M2,Stüdyo,3.Kat,Kombi Doğalgaz,699000,Kayseri - Develi - Feneseaşağı Mahallesi,Kayseri,Develi,Feneseaşağı Mahallesi
175 M2,2,14,Boş,Konut,140 M2,3+1,3.Kat,Merkezi (Pay Ölçer),1675000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,Talas,Mevlana Mahallesi
110 M2,21 Ve Üzeri,4,Boş,Konut,90 M2,2+1,Yüksek Giriş,Sobalı,750000,Kayseri - Develi - İbrahimağa Mahallesi,Kayseri,Develi,İbrahimağa Mahallesi
96 M2,21 Ve Üzeri,3,Mülk Sahibi Oturuyor,Konut,95 M2,2+1,Yüksek Giriş,Kombi Doğalgaz,800000,Kayseri - Develi - Alpaslan Mahallesi,Kayseri,Develi,Alpaslan Mahallesi
165 M2,4,3,Mülk Sahibi Oturuyor,Konut,140 M2,3+1,3.Kat,Kombi Doğalgaz,1800000,Kayseri - Develi - Şehit Üsteğmen Hasan Şahan Mahallesi,Kayseri,Develi,Şehit Üsteğmen Hasan Şahan Mahallesi
175 M2,5-10,13,Kiracı Oturuyor,Konut,145 M2,3+1,12.Kat,Merkezi Doğalgaz,1650000,Kayseri - Talas - Yenidoğan Mahallesi,Kayseri,Talas,Yenidoğan Mahallesi
185 M2,4,10,Boş,Konut,145 M2,3+1,8.Kat,Merkezi (Pay Ölçer),2000000,Kayseri - Talas - Tablakaya Mahallesi,Kayseri,Talas,Tablakaya Mahallesi
155 M2,11-15,15,Boş,Konut,135 M2,3+1,5.Kat,Merkezi Doğalgaz,1320000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,Talas,Mevlana Mahallesi
185 M2,5-10,12,Kiracı Oturuyor,Konut,160 M2,3+1,3.Kat,Kombi Doğalgaz,1920000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,Talas,Mevlana Mahallesi
161 M2,21 Ve Üzeri,2,Mülk Sahibi Oturuyor,Konut,100 M2,5+2,Düz Giriş,Sobalı,2500000,Kayseri - Talas - Harman Mahallesi,Kayseri,Talas,Harman Mahallesi
310 M2,11-15,4,Boş,Konut,260 M2,6+2,Bahçe Katı,Kombi Doğalgaz,6150000,Kayseri - Talas - Harman Mahallesi,Kayseri,Talas,Harman Mahallesi
3.015 M2,11-15,3,Mülk Sahibi Oturuyor,Konut,3.014 M2,9+ Oda,Bahçe Katı,Kombi Doğalgaz,10950000,Kayseri - Hacılar - Beğendik Mahallesi,Kayseri,Hacılar,Beğendik Mahallesi
175 M2,0 (Yeni),12,Boş,Konut,138 M2,3+1,6.Kat,Merkezi (Pay Ölçer),3200000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,Talas,Mevlana Mahallesi
175 M2,5-10,14,Boş,Konut,150 M2,3+1,9.Kat,Merkezi Doğalgaz,1950000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,Talas,Mevlana Mahallesi
1.237 M2,11-15,2,Boş,Konut,1.235 M2,3+1,Bahçe Dublex,Sobalı,9500000,Kayseri - Talas - Yukarı Mahallesi,Kayseri,Talas,Yukarı Mahallesi
100 M2,21 Ve Üzeri,3,Kiracı Oturuyor,Konut,80 M2,2+1,2.Kat,Sobalı,500000,Kayseri - Develi - Harman Mahallesi,Kayseri,Develi,Harman Mahallesi
175 M2,5-10,14,Boş,Konut,155 M2,3+1,8.Kat,Merkezi (Pay Ölçer),1525000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,Talas,Mevlana Mahallesi
200 M2,11-15,14,Kiracı Oturuyor,Konut,160 M2,4+1,11.Kat,Merkezi Doğalgaz,2300000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,Talas,Mevlana Mahallesi
360 M2,0 (Yeni),3,Boş,Konut,320 M2,7+1,Düz Giriş,Kombi Doğalgaz,9500000,Kayseri - Talas - Yukarı Mahallesi,Kayseri,Talas,Yukarı Mahallesi
185 M2,5-10,4,Kiracı Oturuyor,Konut,145 M2,4+1,1.Kat,Kombi Doğalgaz,1700000,Kayseri - Hacılar - Akdam Mahallesi,Kayseri,Hacılar,Akdam Mahallesi
187 M2,11-15,14,Kiracı Oturuyor,Konut,145 M2,3+1,9.Kat,Merkezi (Pay Ölçer),1965000,Kayseri - Talas - Bahçelievler Mahallesi,Kayseri,Talas,Bahçelievler Mahallesi
175 M2,2,14,Boş,Konut,150 M2,3+1,13.Kat,Merkezi (Pay Ölçer),2200000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,Talas,Mevlana Mahallesi
488 M2,0 (Yeni),2,Boş,Konut,411 M2,3+0,Düz Giriş,Sobalı,750000,Kayseri - Bünyan - İbrahimbey Mahallesi,Kayseri,Bünyan,İbrahimbey Mahallesi
90 M2,4,14,Kiracı Oturuyor,Konut,65 M2,3+1,7.Kat,Merkezi (Pay Ölçer),825000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,Talas,Mevlana Mahallesi
