Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,House Price,House Location,Şehir,İlçe,Mahalle
5-10,14,0,Konut,155,3+1,14.Kat,Merkezi (Pay Ölçer),1625000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
5-10,14,0,Konut,250,4+1,14.Kat,Merkezi (Pay Ölçer),2799000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
5-10,14,2,Konut,135,3+1,7.Kat,Merkezi (Pay Ölçer),1650000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
5-10,7,1,Konut,70,1+1,7.Kat,Merkezi Doğalgaz,955000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
5-10,14,0,Konut,135,3+1,10.Kat,Merkezi Doğalgaz,1625000,Kayseri - Talas - Yenidoğan Mahallesi,Kayseri,7,Yenidoğan Mahallesi
5-10,14,1,Konut,135,3+1,1.Kat,Merkezi Doğalgaz,1450000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
0 (Yeni),4,0,Konut,99,2+1,1.Kat,Kombi Doğalgaz,1250000,Kayseri - Develi - Reşadiye Mahallesi,Kayseri,1,Reşadiye Mahallesi
5-10,14,0,Konut,125,3+1,11.Kat,Merkezi (Pay Ölçer),1585000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
4,14,0,Konut,135,3+1,13.Kat,Merkezi (Pay Ölçer),2200000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
1,14,1,Konut,100,2.5+1,10.Kat,Merkezi (Pay Ölçer),1580000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
2,14,1,Konut,100,2.5+1,3.Kat,Merkezi (Pay Ölçer),1380000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
2,14,1,Konut,115,2+1,3.Kat,Merkezi (Pay Ölçer),1365000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
21 Ve Üzeri,1,2,Konut,100,2+1,Müstakil.Kat,Kombi Doğalgaz,850000,Kayseri - Develi - Güneyyukarı Mahallesi,Kayseri,1,Güneyyukarı Mahallesi
11-15,15,1,Konut,115,3+1,9.Kat,Merkezi (Pay Ölçer),1200000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
5-10,15,2,Konut,145,3+1,11.Kat,Merkezi Doğalgaz,1690000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
5-10,14,2,Konut,140,3+1,14.Kat,Merkezi (Pay Ölçer),1350000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
11-15,4,2,Konut,154,4+1,Bahçe Dublex,Kombi Doğalgaz,1450000,Kayseri - Develi - Yeni Mahallesi,Kayseri,1,Yeni Mahallesi
11-15,2,2,Konut,220,8+1,Villa Tipi,Sobalı,1930000,Kayseri - Sarıoğlan - Gaziler Mahallesi,Kayseri,5,Gaziler Mahallesi
0 (Yeni),3,1,Konut,85,2.5+1,1.Kat,Kombi Doğalgaz,1359000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
5-10,8,1,Konut,50,1+1,7.Kat,Merkezi Doğalgaz,965000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
11-15,14,1,Konut,140,3+1,11.Kat,Merkezi Doğalgaz,1350000,Kayseri - Talas - Yenidoğan Mahallesi,Kayseri,7,Yenidoğan Mahallesi
21 Ve Üzeri,3,1,Konut,120,3+1,2.Kat,Merkezi Doğalgaz,1400000,Kayseri - Talas - Bahçelievler Mahallesi,Kayseri,7,Bahçelievler Mahallesi
11-15,15,2,Konut,110,3+1,3.Kat,Merkezi Doğalgaz,1195000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
5-10,8,2,Konut,115,3+1,3.Kat,Merkezi (Pay Ölçer),2050000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
5-10,14,1,Konut,160,3.5+1,1.Kat,Merkezi (Pay Ölçer),2080000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
11-15,14,1,Konut,135,3+1,11.Kat,Merkezi Doğalgaz,1350000,Kayseri - Talas - Yenidoğan Mahallesi,Kayseri,7,Yenidoğan Mahallesi
11-15,14,0,Konut,135,3+1,8.Kat,Merkezi Doğalgaz,1375000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
1,7,1,Konut,60,1+1,2.Kat,Merkezi (Pay Ölçer),1100000,Kayseri - Talas - Bahçelievler Mahallesi,Kayseri,7,Bahçelievler Mahallesi
0 (Yeni),14,0,Konut,210,4+1,5.Kat,Merkezi (Pay Ölçer),5500000,Kayseri - Talas - Bahçelievler Mahallesi,Kayseri,7,Bahçelievler Mahallesi
0 (Yeni),14,0,Konut,135,3+1,2.Kat,Merkezi (Pay Ölçer),2775000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
0 (Yeni),5,0,Konut,75,2+1,3.Kat,Kombi Doğalgaz,1150000,Kayseri - Develi - Harman Mahallesi,Kayseri,1,Harman Mahallesi
3,9,0,Konut,140,3+1,5.Kat,Merkezi (Pay Ölçer),1650000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
4,14,1,Konut,150,3+1,13.Kat,Merkezi (Pay Ölçer),1999000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
0 (Yeni),13,0,Konut,150,3+1,9.Kat,Merkezi (Pay Ölçer),2280000,Kayseri - Talas - Bahçelievler Mahallesi,Kayseri,7,Bahçelievler Mahallesi
11-15,14,2,Konut,135,3+1,14.Kat,Merkezi Doğalgaz,1350000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
11-15,15,0,Konut,110,3+1,12.Kat,Merkezi Doğalgaz,1270000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
5-10,7,1,Konut,55,1+1,1.Kat,Merkezi (Pay Ölçer),935000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
0 (Yeni),4,0,Konut,125,3+1,3.Kat,Kombi Doğalgaz,1320000,Kayseri - Develi - Alpaslan Mahallesi,Kayseri,1,Alpaslan Mahallesi
5-10,14,0,Konut,185,3+1,3.Kat,Merkezi (Pay Ölçer),1850000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
0 (Yeni),14,0,Konut,140,3+1,13.Kat,Merkezi Doğalgaz,1630000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
5-10,14,1,Konut,135,3+1,12.Kat,Merkezi (Pay Ölçer),1330000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
0 (Yeni),14,0,Konut,175,4+1,5.Kat,Merkezi (Pay Ölçer),2850000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
21 Ve Üzeri,3,1,Konut,100,3+1,1.Kat,Kombi Doğalgaz,960000,Kayseri - Talas - Bahçelievler Mahallesi,Kayseri,7,Bahçelievler Mahallesi
11-15,8,0,Konut,110,2+1,2.Kat,Kombi Doğalgaz,1220000,Kayseri - Talas - Yenidoğan Mahallesi,Kayseri,7,Yenidoğan Mahallesi
4,14,2,Konut,145,3.5+1,10.Kat,Merkezi (Pay Ölçer),2299000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
0 (Yeni),4,0,Konut,80,2+1,1.Kat,Kombi Doğalgaz,1350000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
0 (Yeni),14,0,Konut,155,4+1,3.Kat,Merkezi (Pay Ölçer),3650000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
11-15,11,0,Konut,140,3+1,6.Kat,Kombi Doğalgaz,2150000,Kayseri - Talas - Yenidoğan Mahallesi,Kayseri,7,Yenidoğan Mahallesi
5-10,6,2,Konut,115,3+1,2.Kat,Kombi Doğalgaz,1500000,Kayseri - Develi - İbrahimağa Mahallesi,Kayseri,1,İbrahimağa Mahallesi
4,14,2,Konut,145,3+1,14.Kat,Merkezi (Pay Ölçer),1694000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
3,14,2,Konut,180,4+1,8.Kat,Merkezi Doğalgaz,3400000,Kayseri - Talas - Bahçelievler Mahallesi,Kayseri,7,Bahçelievler Mahallesi
0 (Yeni),5,0,Konut,90,3+0,4.Kat,Kombi Doğalgaz,1675000,Kayseri - Talas - Bahçelievler Mahallesi,Kayseri,7,Bahçelievler Mahallesi
5-10,8,0,Konut,145,3+1,6.Kat,Kombi Doğalgaz,1700000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
11-15,15,1,Konut,150,3+1,6.Kat,Merkezi Doğalgaz,1850000,Kayseri - Talas - Bahçelievler Mahallesi,Kayseri,7,Bahçelievler Mahallesi
5-10,14,2,Konut,100,2.5+1,12.Kat,Merkezi (Pay Ölçer),1400000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
0 (Yeni),14,0,Konut,90,2+1,10.Kat,Merkezi (Pay Ölçer),2250000,Kayseri - Talas - Bahçelievler Mahallesi,Kayseri,7,Bahçelievler Mahallesi
5-10,10,1,Konut,100,2+1,5.Kat,Merkezi (Pay Ölçer),1460000,Kayseri - Talas - Yenidoğan Mahallesi,Kayseri,7,Yenidoğan Mahallesi
5-10,14,1,Konut,145,3+1,6.Kat,Merkezi (Pay Ölçer),1700000,Kayseri - Talas - Yenidoğan Mahallesi,Kayseri,7,Yenidoğan Mahallesi
5-10,10,0,Konut,180,4+1,10.Kat,Merkezi (Pay Ölçer),2380000,Kayseri - Talas - Yenidoğan Mahallesi,Kayseri,7,Yenidoğan Mahallesi
5-10,14,2,Konut,110,3+1,7.Kat,Merkezi Fueloil,1230000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
0 (Yeni),2,0,Konut,175,4+1,Düz Giriş,Kombi Doğalgaz,4950000,Kayseri - Hacılar - Yediağaç Mahallesi,Kayseri,2,Yediağaç Mahallesi
16-20,4,0,Konut,150,3+1,1.Kat,Kombi Doğalgaz,1300000,Kayseri - Develi - Mehmet Akif Ersoy Mahallesi,Kayseri,1,Mehmet Akif Ersoy Mahallesi
0 (Yeni),14,0,Konut,90,2.5+1,3.Kat,Merkezi (Pay Ölçer),1475000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
0 (Yeni),8,0,Konut,100,2.5+1,3.Kat,Merkezi (Pay Ölçer),1600000,Kayseri - Talas - Kiçiköy Mahallesi,Kayseri,7,Kiçiköy Mahallesi
0 (Yeni),14,0,Konut,140,3+1,2.Kat,Merkezi (Pay Ölçer),2520000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
11-15,12,0,Konut,140,3+1,6.Kat,Merkezi (Pay Ölçer),2150000,Kayseri - Talas - Harman Mahallesi,Kayseri,7,Harman Mahallesi
11-15,14,0,Konut,175,3+1,11.Kat,Kombi Doğalgaz,1890000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
11-15,15,1,Konut,135,3+1,14.Kat,Merkezi Doğalgaz,1395000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
0 (Yeni),14,0,Konut,100,2.5+1,6.Kat,Merkezi Doğalgaz,1549000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
5-10,14,1,Konut,115,3+1,11.Kat,Merkezi (Pay Ölçer),1410000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
5-10,14,2,Konut,125,3+1,11.Kat,Merkezi (Pay Ölçer),1425000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
5-10,2,0,Konut,135,1 Oda,Düz Giriş,Isıtma Yok,1210000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
1,1,0,Konut,3999,1+1,Müstakil.Kat,Sobalı,1485000,Kayseri - Talas - Kuruköprü Mahallesi,Kayseri,7,Kuruköprü Mahallesi
11-15,14,2,Konut,180,4+1,3.Kat,Kombi Doğalgaz,2745000,Kayseri - Talas - Yenidoğan Mahallesi,Kayseri,7,Yenidoğan Mahallesi
5-10,14,2,Konut,140,3+1,11.Kat,Merkezi (Pay Ölçer),1419000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
0 (Yeni),5,0,Konut,110,3+1,Yüksek Giriş,Kombi Doğalgaz,1100000,Kayseri - Develi - Aşık Seyrani Mahallesi,Kayseri,1,Aşık Seyrani Mahallesi
5-10,4,0,Konut,100,2+1,Çatı Dubleks,Isıtma Yok,1200000,Kayseri - Develi - Harman Mahallesi,Kayseri,1,Harman Mahallesi
1,14,1,Konut,85,2+1,1.Kat,Merkezi (Pay Ölçer),1350000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
4,14,2,Konut,140,3+1,13.Kat,Merkezi (Pay Ölçer),1990000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
11-15,4,2,Konut,480,5+4,Düz Giriş,Kombi Doğalgaz,17950000,Kayseri - Talas - Yukarı Mahallesi,Kayseri,7,Yukarı Mahallesi
0 (Yeni),14,0,Konut,180,4+1,9.Kat,Merkezi (Pay Ölçer),3500000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
0 (Yeni),14,0,Konut,140,3+1,2.Kat,Merkezi (Pay Ölçer),1825000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
11-15,14,2,Konut,125,3+1,11.Kat,Merkezi (Pay Ölçer),1420000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
5-10,14,0,Konut,135,3+1,1.Kat,Merkezi (Pay Ölçer),1600000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
0 (Yeni),14,0,Konut,90,2.5+1,1.Kat,Merkezi (Pay Ölçer),1500000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
11-15,10,1,Konut,140,3+1,7.Kat,Kombi Doğalgaz,1640000,Kayseri - Talas - Yenidoğan Mahallesi,Kayseri,7,Yenidoğan Mahallesi
0 (Yeni),10,0,Konut,140,3+1,2.Kat,Merkezi Doğalgaz,3400000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
0 (Yeni),5,0,Konut,90,2+1,2.Kat,Isıtma Yok,1300000,Kayseri - Develi - Mustafa Asım Köksal Mahallesi,Kayseri,1,Mustafa Asım Köksal Mahallesi
5-10,14,1,Konut,90,2+1,7.Kat,Merkezi (Pay Ölçer),1375000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
1,1,2,Konut,125,3+1,Düz Giriş,Sobalı,2500000,Kayseri - İncesu - Garipçe Mahallesi,Kayseri,10,Garipçe Mahallesi
5-10,14,2,Konut,135,3+1,12.Kat,Merkezi (Pay Ölçer),1525000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
5-10,2,0,Konut,125,1 Oda,Düz Giriş,Isıtma Yok,1550000,Kayseri - Develi - Yeni Mahallesi,Kayseri,1,Yeni Mahallesi
5-10,14,1,Konut,135,3+1,12.Kat,Merkezi Doğalgaz,1420000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
0 (Yeni),10,0,Konut,90,2.5+1,3.Kat,Merkezi (Pay Ölçer),1579000,Kayseri - Talas - Kiçiköy Mahallesi,Kayseri,7,Kiçiköy Mahallesi
0 (Yeni),5,0,Konut,49,Stüdyo,3.Kat,Kombi Doğalgaz,699000,Kayseri - Develi - Feneseaşağı Mahallesi,Kayseri,1,Feneseaşağı Mahallesi
2,14,0,Konut,140,3+1,3.Kat,Merkezi (Pay Ölçer),1675000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
21 Ve Üzeri,4,0,Konut,90,2+1,Yüksek Giriş,Sobalı,750000,Kayseri - Develi - İbrahimağa Mahallesi,Kayseri,1,İbrahimağa Mahallesi
21 Ve Üzeri,3,2,Konut,95,2+1,Yüksek Giriş,Kombi Doğalgaz,800000,Kayseri - Develi - Alpaslan Mahallesi,Kayseri,1,Alpaslan Mahallesi
4,3,2,Konut,140,3+1,3.Kat,Kombi Doğalgaz,1800000,Kayseri - Develi - Şehit Üsteğmen Hasan Şahan Mahallesi,Kayseri,1,Şehit Üsteğmen Hasan Şahan Mahallesi
5-10,13,1,Konut,145,3+1,12.Kat,Merkezi Doğalgaz,1650000,Kayseri - Talas - Yenidoğan Mahallesi,Kayseri,7,Yenidoğan Mahallesi
4,10,0,Konut,145,3+1,8.Kat,Merkezi (Pay Ölçer),2000000,Kayseri - Talas - Tablakaya Mahallesi,Kayseri,7,Tablakaya Mahallesi
11-15,15,0,Konut,135,3+1,5.Kat,Merkezi Doğalgaz,1320000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
5-10,12,1,Konut,160,3+1,3.Kat,Kombi Doğalgaz,1920000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
21 Ve Üzeri,2,2,Konut,100,5+2,Düz Giriş,Sobalı,2500000,Kayseri - Talas - Harman Mahallesi,Kayseri,7,Harman Mahallesi
11-15,4,0,Konut,260,6+2,Bahçe Katı,Kombi Doğalgaz,6150000,Kayseri - Talas - Harman Mahallesi,Kayseri,7,Harman Mahallesi
11-15,3,2,Konut,3014,9+ Oda,Bahçe Katı,Kombi Doğalgaz,10950000,Kayseri - Hacılar - Beğendik Mahallesi,Kayseri,2,Beğendik Mahallesi
0 (Yeni),12,0,Konut,138,3+1,6.Kat,Merkezi (Pay Ölçer),3200000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
5-10,14,0,Konut,150,3+1,9.Kat,Merkezi Doğalgaz,1950000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
11-15,2,0,Konut,1235,3+1,Bahçe Dublex,Sobalı,9500000,Kayseri - Talas - Yukarı Mahallesi,Kayseri,7,Yukarı Mahallesi
21 Ve Üzeri,3,1,Konut,80,2+1,2.Kat,Sobalı,500000,Kayseri - Develi - Harman Mahallesi,Kayseri,1,Harman Mahallesi
5-10,14,0,Konut,155,3+1,8.Kat,Merkezi (Pay Ölçer),1525000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
11-15,14,1,Konut,160,4+1,11.Kat,Merkezi Doğalgaz,2300000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
0 (Yeni),3,0,Konut,320,7+1,Düz Giriş,Kombi Doğalgaz,9500000,Kayseri - Talas - Yukarı Mahallesi,Kayseri,7,Yukarı Mahallesi
5-10,4,1,Konut,145,4+1,1.Kat,Kombi Doğalgaz,1700000,Kayseri - Hacılar - Akdam Mahallesi,Kayseri,2,Akdam Mahallesi
11-15,14,1,Konut,145,3+1,9.Kat,Merkezi (Pay Ölçer),1965000,Kayseri - Talas - Bahçelievler Mahallesi,Kayseri,7,Bahçelievler Mahallesi
2,14,0,Konut,150,3+1,13.Kat,Merkezi (Pay Ölçer),2200000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
0 (Yeni),2,0,Konut,411,3+0,Düz Giriş,Sobalı,750000,Kayseri - Bünyan - İbrahimbey Mahallesi,Kayseri,0,İbrahimbey Mahallesi
4,14,1,Konut,65,3+1,7.Kat,Merkezi (Pay Ölçer),825000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
21 Ve Üzeri,4,1,Konut,110,3+1,1.Kat,Kombi Doğalgaz,1050000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
2,3,1,Konut,100,2+1,Yüksek Giriş,Merkezi Doğalgaz,1390000,Kayseri - Talas - Bahçelievler Mahallesi,Kayseri,7,Bahçelievler Mahallesi
5-10,14,2,Konut,155,3+1,3.Kat,Merkezi Doğalgaz,2599000,Kayseri - Talas - Yenidoğan Mahallesi,Kayseri,7,Yenidoğan Mahallesi
1,6,1,Konut,78,2+1,3.Kat,Kombi Doğalgaz,1285000,Kayseri - Talas - Tablakaya Mahallesi,Kayseri,7,Tablakaya Mahallesi
11-15,13,2,Konut,200,4+1,Yüksek Giriş,Merkezi (Pay Ölçer),1990000,Kayseri - Talas - Yenidoğan Mahallesi,Kayseri,7,Yenidoğan Mahallesi
0 (Yeni),2,0,Konut,200,3.5+1,Villa Tipi,Isıtma Yok,4000000,Kayseri - Hacılar - Akyazı Mahallesi,Kayseri,2,Akyazı Mahallesi
21 Ve Üzeri,2,0,Konut,170,7+1,Müstakil.Kat,Sobalı,4900000,Kayseri - Talas - Kiçiköy Mahallesi,Kayseri,7,Kiçiköy Mahallesi
0 (Yeni),11,0,Konut,135,3+1,9.Kat,Merkezi (Pay Ölçer),2400000,Kayseri - Talas - Bahçelievler Mahallesi,Kayseri,7,Bahçelievler Mahallesi
0 (Yeni),5,0,Konut,115,3+1,2.Kat,Kombi Doğalgaz,1350000,Kayseri - Develi - Harman Mahallesi,Kayseri,1,Harman Mahallesi
0 (Yeni),14,0,Konut,105,3+1,2.Kat,Merkezi Doğalgaz,345000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
11-15,3,0,Konut,260,6+2,Bahçe Dublex,Merkezi Doğalgaz,6150000,Kayseri - Talas - Harman Mahallesi,Kayseri,7,Harman Mahallesi
5-10,14,0,Konut,125,3+1,11.Kat,Merkezi (Pay Ölçer),1585000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
11-15,5,0,Konut,200,4+2,5.Kat,Kombi Doğalgaz,3250000,Kayseri - Talas - Kiçiköy Mahallesi,Kayseri,7,Kiçiköy Mahallesi
3,14,0,Konut,135,3+1,13.Kat,Merkezi (Pay Ölçer),2300000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
5-10,14,0,Konut,155,3+1,8.Kat,Merkezi (Pay Ölçer),1525000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
2,14,0,Konut,100,2+1,12.Kat,Merkezi (Pay Ölçer),1410000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
4,14,2,Konut,140,3+1,8.Kat,Merkezi (Pay Ölçer),2070000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
4,14,0,Konut,150,3+1,10.Kat,Merkezi (Pay Ölçer),1950000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
0 (Yeni),14,0,Konut,126,3+1,13.Kat,Merkezi (Pay Ölçer),3499000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
4,14,2,Konut,130,3+1,12.Kat,Merkezi (Pay Ölçer),1565000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
4,14,0,Konut,130,3+1,4.Kat,Merkezi (Pay Ölçer),1435000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
4,14,0,Konut,140,3+1,6.Kat,Merkezi (Pay Ölçer),1540000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
11-15,15,1,Konut,140,3+1,11.Kat,Merkezi Doğalgaz,1385000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
0 (Yeni),10,0,Konut,100,2+1,5.Kat,Merkezi (Pay Ölçer),265000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
5-10,4,1,Konut,145,3.5+1,1.Kat,Kombi Doğalgaz,1700000,Kayseri - Hacılar - Akdam Mahallesi,Kayseri,2,Akdam Mahallesi
4,2,2,Konut,150,3+1,Bahçe Dublex,Kombi Doğalgaz,2500000,Kayseri - Develi - Zile Mahallesi,Kayseri,1,Zile Mahallesi
3,14,0,Konut,115,3+1,1.Kat,Merkezi (Pay Ölçer),1350000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
5-10,15,1,Konut,175,3+1,13.Kat,Kombi Doğalgaz,1800000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
0 (Yeni),4,0,Konut,120,3+1,1.Kat,Kombi Doğalgaz,1350000,Kayseri - Develi - Bahçelievler Mahallesi,Kayseri,1,Bahçelievler Mahallesi
11-15,13,1,Konut,135,3+1,2.Kat,Merkezi (Pay Ölçer),1665000,Kayseri - Talas - Yenidoğan Mahallesi,Kayseri,7,Yenidoğan Mahallesi
21 Ve Üzeri,3,2,Konut,120,3+1,Yüksek Giriş,Kombi Doğalgaz,880000,Kayseri - Develi - Yeni Mahallesi,Kayseri,1,Yeni Mahallesi
4,14,0,Konut,125,3+1,1.Kat,Merkezi (Pay Ölçer),1350000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
5-10,14,1,Konut,175,3+1,2.Kat,Merkezi Doğalgaz,2145000,Kayseri - Talas - Bahçelievler Mahallesi,Kayseri,7,Bahçelievler Mahallesi
5-10,14,2,Konut,135,3+1,11.Kat,Merkezi Doğalgaz,1400000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
0 (Yeni),5,0,Konut,110,3+0,1.Kat,Merkezi (Pay Ölçer),1445000,Kayseri - Talas - Bahçelievler Mahallesi,Kayseri,7,Bahçelievler Mahallesi
0 (Yeni),2,0,Konut,150,4+1,Düz Giriş,Kombi Doğalgaz,4150000,Kayseri - Hacılar - Beğendik Mahallesi,Kayseri,2,Beğendik Mahallesi
11-15,14,1,Konut,125,3+1,11.Kat,Merkezi Doğalgaz,1135000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
5-10,14,1,Konut,135,3+1,3.Kat,Merkezi (Pay Ölçer),1675000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
3,5,0,Konut,85,3+1,2.Kat,Merkezi (Pay Ölçer),885000,Kayseri - İncesu - Karakoyunlu Mahallesi,Kayseri,10,Karakoyunlu Mahallesi
0 (Yeni),2,0,Konut,90,2+1,1.Kat,Kombi Doğalgaz,1375000,Kayseri - Talas - Kiçiköy Mahallesi,Kayseri,7,Kiçiköy Mahallesi
4,14,2,Konut,135,3+1,3.Kat,Merkezi (Pay Ölçer),1449000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,7,Mevlana Mahallesi
11-15,3,2,Konut,370,6+1,Düz Giriş,Kombi Doğalgaz,17900000,Kayseri - Talas - Harman Mahallesi,Kayseri,7,Harman Mahallesi
11-15,13,1,Konut,135,3+1,2.Kat,Merkezi (Pay Ölçer),1665000,Kayseri - Talas - Yenidoğan Mahallesi,Kayseri,7,Yenidoğan Mahallesi
