Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,House Price,House Location,Şehir,İlçe,Mahalle
0 (Yeni),7,0,Konut,100,3+0,1.Kat,Kombi Doğalgaz,1445000,Kayseri - Kocasinan - Şeker Mahallesi,Kayseri,3,Şeker Mahallesi
0 (Yeni),2,0,Konut,220,4+1,Bahçe Dublex,Kombi Doğalgaz,6500000,Kayseri - Melikgazi - Gesi Mahallesi,Kayseri,4,Gesi Mahallesi
16-20,14,1,Konut,130,3+1,6.Kat,Merkezi (Pay Ölçer),1265000,Kayseri - Kocasinan - Beyazşehir Mahallesi,Kayseri,3,Beyazşehir Mahallesi
0 (Yeni),14,0,Konut,135,3+1,7.Kat,Merkezi (Pay Ölçer),1900000,Kayseri - Kocasinan - Beyazşehir Mahallesi,Kayseri,3,Beyazşehir Mahallesi
11-15,14,1,Konut,135,3+1,5.Kat,Merkezi (Pay Ölçer),1455000,Kayseri - Melikgazi - Gesi Fatih Mahallesi,Kayseri,4,Gesi Fatih Mahallesi
0 (Yeni),14,0,Konut,120,2+1,5.Kat,Merkezi Doğalgaz,265000,Kayseri - Melikgazi - Tavlusun Mahallesi,Kayseri,4,Tavlusun Mahallesi
16-20,2,0,Konut,100,2.5+1,2.Kat,Sobalı,1650000,Kayseri - Kocasinan - Argıncık Mahallesi,Kayseri,3,Argıncık Mahallesi
21 Ve Üzeri,3,0,Konut,110,2+1,Düz Giriş,Sobalı,830000,Kayseri - Kocasinan - Kayabaşı Mahallesi,Kayseri,3,Kayabaşı Mahallesi
5-10,9,2,Konut,75,1+1,6.Kat,Kombi Doğalgaz,755000,Kayseri - Melikgazi - Selçuklu Mahallesi,Kayseri,4,Selçuklu Mahallesi
11-15,11,0,Konut,120,3+1,4.Kat,Merkezi Doğalgaz,1570000,Kayseri - Kocasinan - Turgut Reis Mahallesi,Kayseri,3,Turgut Reis Mahallesi
11-15,14,2,Konut,135,3+1,7.Kat,Kombi Doğalgaz,1550000,Kayseri - Kocasinan - Mithatpaşa Mahallesi,Kayseri,3,Mithatpaşa Mahallesi
11-15,14,1,Konut,210,4+1,3.Kat,Merkezi Doğalgaz,3440000,Kayseri - Melikgazi - Alpaslan Mahallesi,Kayseri,4,Alpaslan Mahallesi
5-10,14,2,Konut,125,3+1,10.Kat,Merkezi (Pay Ölçer),1550000,Kayseri - Melikgazi - Bahçelievler Mahallesi,Kayseri,4,Bahçelievler Mahallesi
16-20,15,2,Konut,120,3+1,15.Kat,Merkezi Doğalgaz,770000,Kayseri - Melikgazi - Şirintepe Mahallesi,Kayseri,4,Şirintepe Mahallesi
21 Ve Üzeri,8,0,Konut,140,3+1,2.Kat,Merkezi Doğalgaz,1590000,Kayseri - Kocasinan - Fevzi Çakmak Mahallesi,Kayseri,3,Fevzi Çakmak Mahallesi
11-15,14,0,Konut,135,3+1,13.Kat,Merkezi (Pay Ölçer),1465000,Kayseri - Melikgazi - Gesi Fatih Mahallesi,Kayseri,4,Gesi Fatih Mahallesi
11-15,13,1,Konut,130,3+1,Yüksek Giriş,Merkezi Doğalgaz,1525000,Kayseri - Melikgazi - Gesi Fatih Mahallesi,Kayseri,4,Gesi Fatih Mahallesi
16-20,9,1,Konut,135,3+1,9.Kat,Merkezi (Pay Ölçer),1375000,Kayseri - Melikgazi - Gesi Fatih Mahallesi,Kayseri,4,Gesi Fatih Mahallesi
5-10,13,0,Konut,165,3+1,10.Kat,Merkezi (Pay Ölçer),1565000,Kayseri - Melikgazi - Gesi Fatih Mahallesi,Kayseri,4,Gesi Fatih Mahallesi
11-15,9,2,Konut,120,3+1,9.Kat,Merkezi Doğalgaz,1375000,Kayseri - Melikgazi - Gesi Fatih Mahallesi,Kayseri,4,Gesi Fatih Mahallesi
11-15,14,1,Konut,140,3+1,10.Kat,Merkezi (Pay Ölçer),1550000,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,Kayseri,4,İldem Cumhuriyet Mahallesi
4,12,0,Konut,145,3+1,12.Kat,Merkezi (Pay Ölçer),1620000,Kayseri - Melikgazi - Gesi Fatih Mahallesi,Kayseri,4,Gesi Fatih Mahallesi
4,8,2,Konut,130,3+1,2.Kat,Merkezi (Pay Ölçer),1300000,Kayseri - Kocasinan - Barbaros Mahallesi,Kayseri,3,Barbaros Mahallesi
0 (Yeni),14,0,Konut,155,4+1,14.Kat,Merkezi (Pay Ölçer),3700000,Kayseri - Melikgazi - Gesi Fatih Mahallesi,Kayseri,4,Gesi Fatih Mahallesi
5-10,9,2,Konut,130,3+1,4.Kat,Kombi Doğalgaz,1650000,Kayseri - Kocasinan - Ahi Evran Mahallesi,Kayseri,3,Ahi Evran Mahallesi
0 (Yeni),5,0,Konut,100,3+1,Kot 2 (-2).Kat,Merkezi (Pay Ölçer),1550000,Kayseri - Melikgazi - Tavlusun Mahallesi,Kayseri,4,Tavlusun Mahallesi
11-15,9,1,Konut,135,3+1,7.Kat,Merkezi Doğalgaz,1350000,Kayseri - Kocasinan - Osmangazi Mahallesi,Kayseri,3,Osmangazi Mahallesi
0 (Yeni),12,0,Konut,145,3+1,5.Kat,Merkezi (Pay Ölçer),1850000,Kayseri - Melikgazi - Yeşilyurt Mahallesi,Kayseri,4,Yeşilyurt Mahallesi
0 (Yeni),10,0,Konut,100,3+0,4.Kat,Merkezi (Pay Ölçer),1700000,Kayseri - Kocasinan - Beyazşehir Mahallesi,Kayseri,3,Beyazşehir Mahallesi
21 Ve Üzeri,5,2,Konut,120,2+1,2.Kat,Kombi Doğalgaz,1200000,Kayseri - Kocasinan - Sahabiye Mahallesi,Kayseri,3,Sahabiye Mahallesi
2,14,2,Konut,135,3+1,8.Kat,Merkezi (Pay Ölçer),2075000,Kayseri - Melikgazi - Bahçelievler Mahallesi,Kayseri,4,Bahçelievler Mahallesi
21 Ve Üzeri,3,1,Konut,100,2+1,1.Kat,Kombi Doğalgaz,1250000,Kayseri - Melikgazi - Aydınlıkevler Mahallesi,Kayseri,4,Aydınlıkevler Mahallesi
0 (Yeni),12,0,Konut,135,3+1,6.Kat,Merkezi (Pay Ölçer),1850000,Kayseri - Melikgazi - Tavlusun Mahallesi,Kayseri,4,Tavlusun Mahallesi
0 (Yeni),14,0,Konut,138,3.5+1,3.Kat,Merkezi Doğalgaz,2349000,Kayseri - Kocasinan - Zümrüt Mahallesi,Kayseri,3,Zümrüt Mahallesi
0 (Yeni),11,0,Konut,130,3+1,4.Kat,Merkezi Doğalgaz,2249000,Kayseri - Kocasinan - Zümrüt Mahallesi,Kayseri,3,Zümrüt Mahallesi
5-10,14,0,Konut,145,3+1,13.Kat,Merkezi Doğalgaz,1485000,Kayseri - Melikgazi - Gesi Fatih Mahallesi,Kayseri,4,Gesi Fatih Mahallesi
5-10,12,1,Konut,140,3+1,4.Kat,Merkezi (Pay Ölçer),1650000,Kayseri - Kocasinan - Mithatpaşa Mahallesi,Kayseri,3,Mithatpaşa Mahallesi
0 (Yeni),5,1,Konut,140,3+1,1.Kat,Merkezi Doğalgaz,1960000,Kayseri - Melikgazi - Şirintepe Mahallesi,Kayseri,4,Şirintepe Mahallesi
5-10,14,0,Konut,230,4+1,8.Kat,Merkezi (Pay Ölçer),7850000,Kayseri - Melikgazi - Yıldırım Beyazıt Mahallesi,Kayseri,4,Yıldırım Beyazıt Mahallesi
0 (Yeni),9,0,Konut,70,2+1,Yüksek Giriş,Merkezi (Pay Ölçer),1090000,Kayseri - Kocasinan - Şeker Mahallesi,Kayseri,3,Şeker Mahallesi
21 Ve Üzeri,2,2,Konut,165,3+1,1.Kat,Kombi Doğalgaz,1250000,Kayseri - Melikgazi - Osman Kavuncu Mahallesi,Kayseri,4,Osman Kavuncu Mahallesi
5-10,14,1,Konut,100,2+1,11.Kat,Merkezi Doğalgaz,1465000,Kayseri - Melikgazi - Yeşilyurt Mahallesi,Kayseri,4,Yeşilyurt Mahallesi
5-10,3,1,Konut,65,2+1,3.Kat,Merkezi (Pay Ölçer),760000,Kayseri - Melikgazi - Demokrasi Mahallesi,Kayseri,4,Demokrasi Mahallesi
5-10,11,2,Konut,155,3+1,6.Kat,Merkezi Doğalgaz,1485000,Kayseri - Melikgazi - Gökkent Mahallesi,Kayseri,4,Gökkent Mahallesi
