İlan Numarası,İlan Güncelleme Tarihi,Kategorisi,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,Yapı Durumu,Eşya Durumu,Banyo Sayısı,İlan Oluşturma Tarihi,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,Krediye Uygunluk,Site İçerisinde,Takas,Fiyat Durumu,Kategori,Konumu,Fiyat,İlan Açıklaması
13367531,06 Haziran 2023,Satılık,155 M2,5-10,14,Mülk Sahibi Oturuyor,,Boş,1,06 Haziran 2023,Konut,135 M2,3+1,11.Kat,Merkezi Doğalgaz,,Hayır,Yok,Genel Fiyat,Daire,Kayseri - Talas - Mevlana Mahallesi,"1,400,000",
13358172,07 Temmuz 2023,Satılık,165 M2,0 (Yeni),5,Boş,Sıfır,,2,05 Haziran 2023,Konut,135 M2,3+1,2.Kat,Kombi Doğalgaz,,Hayır,Yok,Genel Fiyat,Daire,Kayseri - Melikgazi - Şirintepe Mahallesi,"1,540,000",
13367231,06 Haziran 2023,Satılık,165 M2,11-15,9,Boş,,Boş,1,06 Haziran 2023,Konut,135 M2,3+1,9.Kat,Merkezi Doğalgaz,,Evet,Yok,Genel Fiyat,Daire,Kayseri - Melikgazi - Yıldırım Beyazıt Mahallesi,"1,479,000",
13355569,03 Ağustos 2023,Satılık,175 M2,11-15,9,Kiracı Oturuyor,,Boş,2,05 Haziran 2023,Konut,135 M2,3+1,8.Kat,Kombi Doğalgaz,,Hayır,Yok,Genel Fiyat,Daire,Kayseri - Melikgazi - Gökkent Mahallesi,"1,375,000",
13358176,04 Ağustos 2023,Satılık,100 M2,5-10,5,Mülk Sahibi Oturuyor,İkinci El,Eşyalı,1,05 Haziran 2023,Konut,85 M2,2+1,2.Kat,Merkezi Doğalgaz,,Hayır,Yok,Genel Fiyat,Daire,Kayseri - Melikgazi - Demokrasi Mahallesi,"1,020,000",
13355611,12 Haziran 2023,Satılık,220 M2,3,10,Boş,Sıfır,Boş,2,05 Haziran 2023,Konut,200 M2,4+1,4.Kat,Merkezi (Pay Ölçer),,Hayır,Yok,Genel Fiyat,Daire,Kayseri - Kocasinan - Uğurevler Mahallesi,"4,700,000",ŞEHRİN GÖZDESİ İPEK DİAMOND ULTRA LÜKS 4+1 DAİRE
13363563,06 Haziran 2023,Satılık,195 M2,0 (Yeni),2,Boş,Yapım Aşamasında,,2,06 Haziran 2023,Konut,165 M2,5+1,,Kombi Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,Villa,Kayseri - Melikgazi - Becen Mahallesi,"9,000,000",
13358049,04 Ağustos 2023,Satılık,100 M2,21 Ve Üzeri,2,Kiracı Oturuyor,,Boş,1,05 Haziran 2023,Konut,85 M2,2+1,2.Kat,Sobalı,,Hayır,Yok,Genel Fiyat,Daire,Kayseri - Kocasinan - Yeni Mahallesi,"850,000",
13356900,15 Haziran 2023,Satılık,1.237 M2,16-20,2,Boş,İkinci El,Boş,1,05 Haziran 2023,Konut,1.235 M2,3+1,,Sobalı,Krediye Uygun Değil,Hayır,,Genel Fiyat,Müstakil Ev,Kayseri - Talas - Yukarı Mahallesi,"9,445,000",
13354950,26 Temmuz 2023,Satılık,420 M2,11-15,3,Mülk Sahibi Oturuyor,,Boş,2,05 Haziran 2023,Konut,370 M2,6+1,,Kombi Doğalgaz,Krediye Uygun,Hayır,Yok,Genel Fiyat,Villa,Kayseri - Talas - Harman Mahallesi,"17,900,000",
13358134,08 Haziran 2023,Satılık,165 M2,4,14,Kiracı Oturuyor,İkinci El,Eşyalı,1,05 Haziran 2023,Konut,145 M2,3+1,10.Kat,Merkezi (Pay Ölçer),,Hayır,Var,Genel Fiyat,Daire,Kayseri - Melikgazi - 19 Mayıs Mahallesi,"1,650,000",
13358158,05 Temmuz 2023,Satılık,190 M2,0 (Yeni),12,Boş,Sıfır,,2,05 Haziran 2023,Konut,140 M2,3+1,7.Kat,Merkezi (Pay Ölçer),,Hayır,Yok,Genel Fiyat,Daire,Kayseri - Melikgazi - Yeşilyurt Mahallesi,"1,950,000",
13358195,06 Haziran 2023,Satılık,200 M2,5-10,8,Mülk Sahibi Oturuyor,İkinci El,Eşyalı,2,05 Haziran 2023,Konut,185 M2,4+1,Çatı Katı,Merkezi (Pay Ölçer),,Hayır,Yok,Genel Fiyat,Daire,Kayseri - Melikgazi - Bahçelievler Mahallesi,"2,500,000",
13358303,22 Temmuz 2023,Satılık,185 M2,0 (Yeni),11,Boş,Sıfır,,2,05 Haziran 2023,Konut,145 M2,4+1,10.Kat,Merkezi (Pay Ölçer),,Hayır,Yok,Genel Fiyat,Daire,Kayseri - Melikgazi - Bahçelievler Mahallesi,"2,500,000",
13365870,06 Haziran 2023,Satılık,215 M2,0 (Yeni),2,Boş,,Boş,2,06 Haziran 2023,Konut,150 M2,4+1,,Kombi Doğalgaz,Krediye Uygun,Evet,Var,Genel Fiyat,Villa,Kayseri - Hacılar - Beğendik Mahallesi,"4,150,000",
13358359,06 Haziran 2023,Satılık,165 M2,11-15,4,Boş,İkinci El,,1,05 Haziran 2023,Konut,120 M2,3+1,Çatı Katı,Kombi Doğalgaz,,Hayır,Yok,Genel Fiyat,Daire,Kayseri - Kocasinan - Yavuzlar Mahallesi,"1,250,000",
