Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,Yapı Durumu,Eşya Durumu,Banyo Sayısı,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,Site İçerisinde,Kategori,Fiyat,Şehir,İlçe,Mahalle
130,5,3,0,3,2,0,0,110,8,1,4,1,1,1000000,0,4,83
210,8,11,2,3,2,2,0,155,9,2,5,1,1,2600000,0,5,133
165,0,10,0,0,0,1,0,135,8,1,5,1,1,2000000,0,4,129
110,8,9,0,3,0,0,0,100,4,6,5,1,1,920000,0,5,18
190,6,14,1,3,2,0,0,160,8,1,5,1,1,330000000,0,4,110
200,0,14,0,3,0,1,0,150,12,1,5,1,1,2795000,0,4,111
185,4,14,0,3,0,1,0,145,12,2,5,1,1,2550000,0,7,82
185,6,13,2,3,0,0,0,155,12,1,5,1,1,2850000,0,7,82
200,1,14,0,3,0,1,0,180,12,1,5,1,1,3577000,0,4,111
140,5,6,1,3,0,0,0,120,8,1,4,1,1,1665000,0,7,16
175,7,14,0,3,0,1,0,140,8,1,5,1,1,1800000,0,7,82
150,0,5,0,3,0,0,0,130,8,1,4,1,1,2400000,0,4,33
120,5,4,2,2,2,0,0,100,8,1,4,1,1,1080000,0,5,49
175,8,12,1,2,2,1,0,140,8,1,5,1,1,1565000,0,4,85
286,5,5,0,3,2,6,0,285,28,12,8,1,0,14000000,0,4,61
165,8,12,2,3,2,1,0,125,8,1,6,1,1,1900000,0,5,133
175,0,6,0,3,0,0,0,150,8,1,4,1,1,1350000,0,5,136
145,4,4,0,3,0,0,0,125,8,6,5,0,1,1450000,0,4,87
175,0,12,0,3,0,0,0,150,8,1,6,1,1,1275000,0,5,0
170,0,14,0,3,0,0,0,120,8,1,5,0,1,1750000,0,4,128
120,0,15,0,3,2,1,0,90,4,1,5,1,1,1575000,0,7,82
265,8,12,0,3,0,1,0,240,12,1,5,1,5,4575000,0,4,83
135,3,10,0,2,2,0,0,120,8,1,6,1,1,1570000,0,4,108
220,8,14,1,2,1,1,0,200,12,1,5,1,1,2485000,0,5,121
165,3,4,1,2,1,0,0,130,8,11,4,1,1,1550000,0,4,129
175,2,14,1,3,2,1,0,135,8,2,5,1,1,1500000,0,7,82
145,2,8,1,2,1,0,0,132,8,1,4,1,1,1465000,0,5,31
175,7,12,0,2,0,1,0,130,8,1,5,1,1,1850000,0,5,133
165,8,12,2,2,0,0,0,125,8,1,5,0,1,1675000,0,5,49
165,8,7,0,2,2,0,0,125,8,1,4,0,1,1280000,0,5,16
175,0,10,0,3,2,1,0,150,8,1,5,1,1,1875000,0,5,49
175,0,8,0,3,2,1,0,135,8,1,4,1,1,1590000,0,5,136
180,7,13,0,3,2,1,0,130,8,1,5,1,1,1770000,0,5,49
167,5,1,1,3,2,0,0,110,5,7,2,1,1,1650000,0,4,123
200,4,4,0,3,2,1,0,170,12,11,4,1,1,1575000,0,1,63
260,0,2,0,3,0,4,0,230,20,12,4,1,6,1990000,0,5,83
165,0,7,0,3,2,0,0,125,8,1,5,1,1,1565000,0,4,89
165,0,14,0,3,2,1,0,125,8,1,6,1,2,412000,0,4,2
180,3,2,0,3,0,0,0,140,8,12,3,1,4,2850000,0,4,24
238,3,1,0,3,0,0,0,237,8,12,8,1,4,870000,0,5,70
150,5,3,1,3,2,0,0,120,8,5,8,1,1,760000,0,5,78
175,2,9,0,3,0,1,0,145,8,1,6,0,1,1950000,0,7,117
165,0,12,0,3,0,1,0,138,8,1,5,1,1,2080000,0,5,49
150,2,6,0,3,0,0,0,112,8,1,6,1,1,1200000,0,5,31
275,0,2,0,3,0,2,0,265,16,12,9,1,6,12750000,0,5,21
110,5,10,1,2,0,0,0,100,8,1,4,1,1,1250000,0,5,99
160,3,4,0,3,2,0,0,125,8,1,4,1,1,1100000,0,5,49
98,0,3,0,0,2,1,0,85,4,11,4,1,1,1399000,0,5,72
100,3,4,1,3,2,0,0,85,4,1,4,1,1,900000,0,5,49
175,0,10,0,0,2,1,0,132,8,1,5,1,1,1799000,0,5,9
175,2,10,2,3,2,1,0,145,8,1,4,1,1,2200000,0,4,17
185,0,14,0,0,2,1,0,138,8,1,6,1,1,2349000,0,4,96
