,İlan Numarası,İlan Güncelleme Tarihi,Kategorisi,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,İlan Oluşturma Tarihi,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,House Price,House Location,Krediye Uygunluk,Yatırıma Uygunluk
183,13550322,25 Temmuz 2023,Satılık,190 M2,11-15,7,Boş,12 Temmuz 2023,Konut,160 M2,4+1,5.Kat,Merkezi Doğalgaz,1.350.000TL,Kayseri - Kocasinan - Sahabiye Mahallesi,,
184,13549712,29 Temmuz 2023,Satılık,165 M2,0 (Yeni),10,Boş,12 Temmuz 2023,Konut,125 M2,3+1,8.Kat,Merkezi (Pay Ölçer),2.050.000TL,Kayseri - Kocasinan - Mithatpaşa Mahallesi,Krediye Uygun Değil,
185,13549606,29 Temmuz 2023,Satılık,165 M2,5-10,8,Mülk Sahibi Oturuyor,12 Temmuz 2023,Konut,140 M2,3+1,8.Kat,Merkezi (Pay Ölçer),1.675.000TL,Kayseri - Kocasinan - Argıncık Mahallesi,,
186,13392928,26 Temmuz 2023,Satılık,130 M2,21 Ve Üzeri,4,Boş,10 Haziran 2023,Konut,100 M2,3+1,4.Kat,Kombi Doğalgaz,1.300.000TL,Kayseri - Kocasinan - Sümer Mahallesi,,
187,13392927,26 Temmuz 2023,Satılık,145 M2,16-20,1,Mülk Sahibi Oturuyor,10 Haziran 2023,Konut,120 M2,3+1,Düz Giriş,Sobalı,830.000TL,Kayseri - Kocasinan - Yenidoğan Mahallesi,,
188,13392920,26 Temmuz 2023,Satılık,225 M2,5-10,13,Boş,10 Haziran 2023,Konut,185 M2,6+1,13.Kat,Merkezi (Pay Ölçer),2.175.000TL,Kayseri - Kocasinan - Uğurevler Mahallesi,,
189,13392911,05 Temmuz 2023,Satılık,200 M2,0 (Yeni),14,Boş,10 Haziran 2023,Konut,160 M2,4+1,11.Kat,Merkezi (Pay Ölçer),2.450.000TLarrow_downward%8,Kayseri - Kocasinan - Seyrani Mahallesi,,
190,13388711,12 Haziran 2023,Satılık,175 M2,2,11,Boş,10 Haziran 2023,Konut,135 M2,3+1,7.Kat,Merkezi Doğalgaz,2.100.000TL,Kayseri - Kocasinan - Yakut Mahallesi,,
191,13388702,10 Haziran 2023,Satılık,210 M2,0 (Yeni),11,Boş,10 Haziran 2023,Konut,185 M2,4+1,10.Kat,Merkezi (Pay Ölçer),1.650.000TL,Kayseri - Kocasinan - Ertuğrul Gazi Mahallesi,,
192,13571507,16 Temmuz 2023,Satılık,110 M2,0 (Yeni),9,Boş,16 Temmuz 2023,Konut,85 M2,2+1,4.Kat,Merkezi Doğalgaz,295.000TL,Kayseri - Kocasinan - Ahi Evran Mahallesi,,
