Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,Yapı Durumu,Eşya Durumu,Banyo Sayısı,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,Site İçerisinde,Kategori,Fiyat,İlan Açıklaması,Şehir,İlçe,Mahalle
200,21 Ve Üzeri,3,Mülk Sahibi Oturuyor,İkinci El,,2,Konut,160,3+1,,Kombi Doğalgaz,Hayır,Müstakil Ev,3500000,,Kayseri,Develi,İbrahimağa Mahallesi
125,21 Ve Üzeri,5,Kiracı Oturuyor,,Boş,1,Konut,90,2+1,2.Kat,Kombi Doğalgaz,Hayır,Daire,875000,,Kayseri,Kocasinan,Kocasinan Mahallesi
650,21 Ve Üzeri,4,Mülk Sahibi Oturuyor,,,4,Konut,600,9+ Oda,,Kombi Doğalgaz,Hayır,Bina,7000000,/,Kayseri,Melikgazi,Keykubat Mahallesi
170,5-10,15,Kiracı Oturuyor,İkinci El,Boş,2,Konut,140,3+1,10.Kat,Merkezi (Pay Ölçer),Hayır,Daire,1550000,,Kayseri,Melikgazi,İldem Cumhuriyet Mahallesi
200,0 (Yeni),2,Boş,,Boş,2,Konut,160,4+2,,Kombi Doğalgaz,Hayır,Villa,8500000,,Kayseri,Melikgazi,Becen Mahallesi
130,0 (Yeni),1,Boş,,Boş,1,Konut,100,2.5+1,,Sobalı,Hayır,Müstakil Ev,2400000,,Kayseri,Melikgazi,Esentepe Mahallesi
135,2,4,Mülk Sahibi Oturuyor,,,2,Konut,110,3+1,1.Kat,Kombi Doğalgaz,Evet,Daire,925000,,Kayseri,Develi,İbrahimağa Mahallesi
175,0 (Yeni),15,Boş,Sıfır,Boş,2,Konut,150,2+1,6.Kat,Merkezi (Pay Ölçer),Hayır,Kooperatif,280000,,Kayseri,Kocasinan,Ahi Evran Mahallesi
110,11-15,8,Mülk Sahibi Oturuyor,,,1,Konut,100,2+1,3.Kat,Merkezi Doğalgaz,Evet,Daire,1250000,Satılık 30 ağustos MH 2+1daire güney cephe güneş ışığını gün boyunca alır 3kat,Kayseri,Melikgazi,Anbar Mahallesi
220,2,11,Mülk Sahibi Oturuyor,,Boş,2,Konut,175,4+1,10.Kat,Merkezi (Pay Ölçer),Hayır,Daire,3750000,,Kayseri,Kocasinan,Yakut Mahallesi
170,11-15,4,Mülk Sahibi Oturuyor,İkinci El,Boş,1,Konut,150,3+1,2.Kat,Kombi Doğalgaz,Hayır,Daire,1179000,,Kayseri,Kocasinan,Barbaros Mahallesi
300,3,10,Mülk Sahibi Oturuyor,,Boş,2,Konut,220,5+1,10.Kat,Merkezi (Pay Ölçer),Hayır,Daire,3590000,,Kayseri,Melikgazi,Yıldırım Beyazıt Mahallesi
220,11-15,10,Kiracı Oturuyor,,,2,Konut,175,4+1,6.Kat,Merkezi (Pay Ölçer),Evet,Daire,3200000,"KÖŞK MAHALLESİ MUSTAFA ŞİMŞEK BULV. HARİKA KONUMLU, KAYSERİ PARK, MİX AVM, TRAMVAY, KURUMSAL MARKETLER VB. YAŞAM ALANLARI İÇERİSİNDEDİR., 4+1 220M2 6.KAT GÜNEY CEPHE ÖNÜ AÇIK MANZARALI MERKEZİ SİSTEM ISINMA, DETAYLI BİLGİ İÇİN ARAYINIZ",Kayseri,Melikgazi,Köşk Mahallesi
